dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,selected_k,count,total,fraction
wine,MAR,random,0.3,5,1000x50,7,9,20,0.45
wine,MAR,random,0.3,5,1000x50,8,10,20,0.5
wine,MAR,random,0.3,5,1000x50,9,1,20,0.05
wine,MAR,random,0.5,5,1000x50,6,5,20,0.25
wine,MAR,random,0.5,5,1000x50,7,15,20,0.75
wine,MCAR,block,0.1,5,1000x50,8,6,20,0.3
wine,MCAR,block,0.1,5,1000x50,9,14,20,0.7
wine,MCAR,block,0.3,5,1000x50,7,15,20,0.75
wine,MCAR,block,0.3,5,1000x50,8,4,20,0.2
wine,MCAR,block,0.3,5,1000x50,9,1,20,0.05
wine,MCAR,block,0.5,5,1000x50,6,4,20,0.2
wine,MCAR,block,0.5,5,1000x50,7,14,20,0.7
wine,MCAR,block,0.5,5,1000x50,8,2,20,0.1
wine,MCAR,random,0.1,5,1000x50,8,7,20,0.35
wine,MCAR,random,0.1,5,1000x50,9,13,20,0.65
wine,MCAR,random,0.3,5,1000x50,7,5,20,0.25
wine,MCAR,random,0.3,5,1000x50,8,15,20,0.75
wine,MCAR,random,0.5,5,1000x50,6,11,20,0.55
wine,MCAR,random,0.5,5,1000x50,7,9,20,0.45
