dataset,mechanism,pattern,missing_rate,method,n_reps,rmse_mean,rmse_median,rmse_std,rmse_ci_low,rmse_ci_high,mae_mean,mae_median,mae_std,mae_ci_low,mae_ci_high,wall_time_sec_mean,wall_time_sec_median,wall_time_sec_std,wall_time_sec_ci_low,wall_time_sec_ci_high,vbpca_mean_variance_mean,rmse_ci,mae_ci,time_ci
diabetes,MAR,block,0.1,mean_pca,20,0.8692663984473052,0.8824944571961619,0.0715284071893855,0.773598126916839,0.9677589210582443,0.6857562374363491,0.6778687210946215,0.0702409763222744,0.5917380782533554,0.8016065920414716,0.0014040955502423,0.00134229500145,0.0002457325228764,0.0012195070000415,0.0021011232247473,,"[0.7736, 0.9678]","[0.5917, 0.8016]","[0.0012, 0.0021]"
diabetes,MAR,block,0.1,mice_pca,20,0.7075848558703687,0.699805844711956,0.1241571496751196,0.5229961933854178,0.9230113738880874,0.5086839115932005,0.4686556105783818,0.1283126711337835,0.3686959815121993,0.7448193338315179,0.0131359648003125,0.0084696045014424,0.0130184005010877,0.0064123842262233,0.0481238874254813,,"[0.5230, 0.9230]","[0.3687, 0.7448]","[0.0064, 0.0481]"
diabetes,MAR,block,0.1,vbpca_vb_modern,20,0.7864217424067016,0.7475280745337093,0.0966733228806267,0.6602190051655398,0.9511639458579432,0.59699442634587,0.5661030900150137,0.0933970788564313,0.478222361920083,0.7592129891976049,21.585369939899827,23.91151021050064,3.358882659891734,16.54959649869925,24.28003082317545,0.1399972829915591,"[0.6602, 0.9512]","[0.4782, 0.7592]","[16.5496, 24.2800]"
diabetes,MAR,block,0.3,mean_pca,20,0.0716406747132279,0.0680803214024894,0.0140326747236965,0.0508408699535612,0.0965048386389715,0.0580625594872642,0.0554895192981247,0.0133917959472331,0.0401329134812144,0.0819538668937755,0.0013433626998448,0.0013457589993777,6.726940464936229e-05,0.0012514283743257,0.0014874443755615,,"[0.0508, 0.0965]","[0.0401, 0.0820]","[0.0013, 0.0015]"
diabetes,MAR,block,0.3,mice_pca,20,0.0716406747132279,0.0680803214024894,0.0140326747236965,0.0508408699535612,0.0965048386389715,0.0580625594872642,0.0554895192981247,0.0133917959472331,0.0401329134812144,0.0819538668937755,0.0037866687502173,0.0038188394992175,0.0001258333377406,0.0035406359990701,0.0039726075252473,,"[0.0508, 0.0965]","[0.0401, 0.0820]","[0.0035, 0.0040]"
diabetes,MAR,block,0.3,vbpca_vb_modern,20,0.0716406747132279,0.0680803214024894,0.0140326747236965,0.0508408699535612,0.0965048386389715,0.0580625594872641,0.0554895192981247,0.0133917959472331,0.0401329134812144,0.0819538668937755,19.41227407855022,21.73626723649977,3.099965017886805,14.846475459925022,22.071512733475,25.7448404608231,"[0.0508, 0.0965]","[0.0401, 0.0820]","[14.8465, 22.0715]"
diabetes,MAR,block,0.5,mean_pca,20,0.0623032525118389,0.0605971194269586,0.0106042619231718,0.0492897400776278,0.0845416068478068,0.0496870180324118,0.047895784594366,0.0094468163573417,0.0396430979598956,0.0705945708946405,0.0013234621001174,0.0013223420010035,4.938786085897315e-05,0.0012304122758904,0.0014005466488014,,"[0.0493, 0.0845]","[0.0396, 0.0706]","[0.0012, 0.0014]"
diabetes,MAR,block,0.5,mice_pca,20,0.0623032525118389,0.0605971194269586,0.0106042619231718,0.0492897400776278,0.0845416068478068,0.0496870180324118,0.047895784594366,0.0094468163573417,0.0396430979598956,0.0705945708946405,0.0037588079498163,0.0037797305012645,0.0001144635720873,0.0035218838502259,0.0039340690754215,,"[0.0493, 0.0845]","[0.0396, 0.0706]","[0.0035, 0.0039]"
diabetes,MAR,block,0.5,vbpca_vb_modern,20,0.0623032525118389,0.0605971194269586,0.0106042619231719,0.0492897400776278,0.0845416068478068,0.0496870180324118,0.047895784594366,0.0094468163573417,0.0396430979598956,0.0705945708946405,18.813113229999907,19.277175288500075,3.2492392662671734,14.908412883423535,22.265261240399838,26.055157648167835,"[0.0493, 0.0845]","[0.0396, 0.0706]","[14.9084, 22.2653]"
diabetes,MAR,random,0.1,mean_pca,20,0.8053384153979166,0.8087694120737097,0.0312351686399425,0.7532322459965928,0.8569819422972282,0.6329223659053067,0.6351746685136133,0.026819938383602,0.5899356669242404,0.6733539259035971,0.0014126750500508,0.0013338370008568,0.0002770250530804,0.0012027134751405,0.0020764321002388,,"[0.7532, 0.8570]","[0.5899, 0.6734]","[0.0012, 0.0021]"
