dataset,mechanism,pattern,missing_rate,n_components,synthetic_shape,comparator,reference,metric,n_reps,delta_mean,delta_median,delta_std,delta_ci_low,delta_ci_high,comparator_win_rate,vbpca_win_rate,delta_ci
diabetes,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.068833687155352,0.0696807093816433,0.0141900978870018,0.0401600732128743,0.0909392938647546,0.0,1.0,"[0.0402, 0.0909]"
diabetes,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,0.0101256293213077,0.0108040114417226,0.0219085683802561,-0.0291557617798916,0.0474105761357732,0.35,0.65,"[-0.0292, 0.0474]"
diabetes,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-17.725451868550408,-19.836792599000542,2.850329789513748,-20.15523288344939,-13.528888218901283,1.0,0.0,"[-20.1552, -13.5289]"
diabetes,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-17.249691250300383,-19.286629939499107,2.81881846145738,-19.69697788047797,-13.08055770669962,1.0,0.0,"[-19.6970, -13.0806]"
diabetes,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.0705340793169579,0.0701711388031717,0.0106734684351156,0.0517525110883765,0.088607903719136,0.0,1.0,"[0.0518, 0.0886]"
diabetes,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,0.0209647804453723,0.0185195930707764,0.0132700212696385,0.00281381175956,0.0415112320479565,0.0,1.0,"[0.0028, 0.0415]"
diabetes,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.0712916660910288,0.0698671604997335,0.0143731132408665,0.0499277122028844,0.0972478150345221,0.0,1.0,"[0.0499, 0.0972]"
diabetes,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,0.0513132290308083,0.045212532671337,0.0235588646341985,0.0233841432506004,0.0939770924908278,0.0,1.0,"[0.0234, 0.0940]"
diabetes,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-13.06350938440064,-12.362370816497789,2.189771751993353,-15.887744211850896,-10.608967127827055,1.0,0.0,"[-15.8877, -10.6090]"
diabetes,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-12.6622736313504,-11.87402646999908,2.1644412240913704,-15.490595417425263,-10.295958894298384,1.0,0.0,"[-15.4906, -10.2960]"
diabetes,MCAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.0843834889342681,0.0912152450919707,0.0376277414942142,0.0104450787425433,0.1310218818572169,0.0,1.0,"[0.0104, 0.1310]"
diabetes,MCAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-0.0842610730954021,-0.0893791500675799,0.0586214747202714,-0.1932334493062562,0.0055269704146489,0.9,0.1,"[-0.1932, 0.0055]"
diabetes,MCAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.0707380578015653,0.091022752018246,0.0576001498350498,-0.0304617499780054,0.1581238766295676,0.15,0.85,"[-0.0305, 0.1581]"
diabetes,MCAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-0.0786272979605063,-0.0731675953336273,0.0683946029664627,-0.2293326925008048,0.0055792233259597,0.9,0.1,"[-0.2293, 0.0056]"
diabetes,MCAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-20.67681491700023,-21.23595247999947,3.5409025551947835,-24.306676295324277,-16.519169966250775,1.0,0.0,"[-24.3067, -16.5192]"
diabetes,MCAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-20.664666326400585,-21.221319481001046,3.537068239984936,-24.287389856299345,-16.513827131100335,1.0,0.0,"[-24.2874, -16.5138]"
