dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,replicate_id,q,q_plus_1,has_reversal,trace_k_max
diabetes,MCAR,random,0.3,5,1000x50,8,8,9.0,True,9
diabetes,MCAR,random,0.3,5,1000x50,9,8,9.0,True,9
diabetes,MCAR,random,0.3,5,1000x50,10,8,9.0,True,9
diabetes,MCAR,random,0.3,5,1000x50,11,8,9.0,True,9
diabetes,MCAR,random,0.3,5,1000x50,12,8,9.0,True,9
diabetes,MCAR,random,0.3,5,1000x50,13,8,9.0,True,9
diabetes,MCAR,random,0.3,5,1000x50,14,8,9.0,True,9
diabetes,MCAR,random,0.3,5,1000x50,15,8,9.0,True,9
diabetes,MCAR,random,0.3,5,1000x50,16,8,9.0,True,9
diabetes,MCAR,random,0.3,5,1000x50,17,8,9.0,True,9
diabetes,MCAR,random,0.3,5,1000x50,18,8,9.0,True,9
diabetes,MCAR,random,0.3,5,1000x50,19,8,9.0,True,9
diabetes,MCAR,random,0.5,5,1000x50,0,8,9.0,True,9
diabetes,MCAR,random,0.5,5,1000x50,1,8,9.0,True,9
diabetes,MCAR,random,0.5,5,1000x50,2,7,8.0,True,8
diabetes,MCAR,random,0.5,5,1000x50,3,8,9.0,True,9
diabetes,MCAR,random,0.5,5,1000x50,4,8,9.0,True,9
diabetes,MCAR,random,0.5,5,1000x50,5,8,9.0,True,9
diabetes,MCAR,random,0.5,5,1000x50,6,8,9.0,True,9
diabetes,MCAR,random,0.5,5,1000x50,7,8,9.0,True,9
diabetes,MCAR,random,0.5,5,1000x50,8,8,9.0,True,9
diabetes,MCAR,random,0.5,5,1000x50,9,7,8.0,True,8
diabetes,MCAR,random,0.5,5,1000x50,10,8,9.0,True,9
diabetes,MCAR,random,0.5,5,1000x50,11,8,9.0,True,9
diabetes,MCAR,random,0.5,5,1000x50,12,8,9.0,True,9
diabetes,MCAR,random,0.5,5,1000x50,13,8,9.0,True,9
diabetes,MCAR,random,0.5,5,1000x50,14,8,9.0,True,9
diabetes,MCAR,random,0.5,5,1000x50,15,8,9.0,True,9
diabetes,MCAR,random,0.5,5,1000x50,16,8,9.0,True,9
diabetes,MCAR,random,0.5,5,1000x50,17,8,9.0,True,9
diabetes,MCAR,random,0.5,5,1000x50,18,8,9.0,True,9
diabetes,MCAR,random,0.5,5,1000x50,19,8,9.0,True,9
synthetic,MAR,block,0.1,5,1000x50,0,21,22.0,True,22
synthetic,MAR,block,0.1,5,1000x50,1,21,22.0,True,22
synthetic,MAR,block,0.1,5,1000x50,2,24,25.0,True,25
synthetic,MAR,block,0.1,5,1000x50,3,24,25.0,True,25
synthetic,MAR,block,0.1,5,1000x50,4,24,25.0,True,25
synthetic,MAR,block,0.1,5,1000x50,5,21,22.0,True,22
synthetic,MAR,block,0.1,5,1000x50,6,22,23.0,True,23
synthetic,MAR,block,0.1,5,1000x50,7,24,25.0,True,25
synthetic,MAR,block,0.1,5,1000x50,8,25,26.0,True,26
synthetic,MAR,block,0.1,5,1000x50,9,23,24.0,True,24
synthetic,MAR,block,0.1,5,1000x50,10,20,21.0,True,21
synthetic,MAR,block,0.1,5,1000x50,11,23,24.0,True,24
synthetic,MAR,block,0.1,5,1000x50,12,23,24.0,True,24
synthetic,MAR,block,0.1,5,1000x50,13,24,25.0,True,25
synthetic,MAR,block,0.1,5,1000x50,14,20,21.0,True,21
synthetic,MAR,block,0.1,5,1000x50,15,21,22.0,True,22
synthetic,MAR,block,0.1,5,1000x50,16,24,25.0,True,25
synthetic,MAR,block,0.1,5,1000x50,17,24,25.0,True,25
synthetic,MAR,block,0.1,5,1000x50,18,22,23.0,True,23
synthetic,MAR,block,0.1,5,1000x50,19,24,25.0,True,25
synthetic,MAR,block,0.3,5,1000x50,0,22,23.0,True,23
synthetic,MAR,block,0.3,5,1000x50,1,20,21.0,True,21
synthetic,MAR,block,0.3,5,1000x50,2,19,20.0,True,20
synthetic,MAR,block,0.3,5,1000x50,3,19,20.0,True,20
synthetic,MAR,block,0.3,5,1000x50,4,22,23.0,True,23
synthetic,MAR,block,0.3,5,1000x50,5,22,23.0,True,23
synthetic,MAR,block,0.3,5,1000x50,6,21,22.0,True,22
synthetic,MAR,block,0.3,5,1000x50,7,20,21.0,True,21
synthetic,MAR,block,0.3,5,1000x50,8,22,23.0,True,23
synthetic,MAR,block,0.3,5,1000x50,9,22,23.0,True,23
synthetic,MAR,block,0.3,5,1000x50,10,22,23.0,True,23
synthetic,MAR,block,0.3,5,1000x50,11,21,22.0,True,22
synthetic,MAR,block,0.3,5,1000x50,12,20,21.0,True,21
synthetic,MAR,block,0.3,5,1000x50,13,18,19.0,True,19
synthetic,MAR,block,0.3,5,1000x50,14,21,22.0,True,22
synthetic,MAR,block,0.3,5,1000x50,15,19,20.0,True,20
synthetic,MAR,block,0.3,5,1000x50,16,19,20.0,True,20
synthetic,MAR,block,0.3,5,1000x50,17,22,23.0,True,23
synthetic,MAR,block,0.3,5,1000x50,18,19,20.0,True,20
synthetic,MAR,block,0.3,5,1000x50,19,21,22.0,True,22
synthetic,MAR,block,0.5,5,1000x50,0,21,22.0,True,22
synthetic,MAR,block,0.5,5,1000x50,1,18,19.0,True,19
synthetic,MAR,block,0.5,5,1000x50,2,22,23.0,True,23
synthetic,MAR,block,0.5,5,1000x50,3,21,22.0,True,22
synthetic,MAR,block,0.5,5,1000x50,4,23,24.0,True,24
synthetic,MAR,block,0.5,5,1000x50,5,19,20.0,True,20
synthetic,MAR,block,0.5,5,1000x50,6,20,21.0,True,21
synthetic,MAR,block,0.5,5,1000x50,7,22,23.0,True,23
synthetic,MAR,block,0.5,5,1000x50,8,21,22.0,True,22
synthetic,MAR,block,0.5,5,1000x50,9,20,21.0,True,21
synthetic,MAR,block,0.5,5,1000x50,10,19,20.0,True,20
synthetic,MAR,block,0.5,5,1000x50,11,20,21.0,True,21
synthetic,MAR,block,0.5,5,1000x50,12,20,21.0,True,21
synthetic,MAR,block,0.5,5,1000x50,13,23,24.0,True,24
synthetic,MAR,block,0.5,5,1000x50,14,20,21.0,True,21
synthetic,MAR,block,0.5,5,1000x50,15,19,20.0,True,20
synthetic,MAR,block,0.5,5,1000x50,16,20,21.0,True,21
synthetic,MAR,block,0.5,5,1000x50,17,21,22.0,True,22
synthetic,MAR,block,0.5,5,1000x50,18,20,21.0,True,21
synthetic,MAR,block,0.5,5,1000x50,19,18,19.0,True,19
synthetic,MAR,random,0.1,5,1000x50,0,24,25.0,True,25
synthetic,MAR,random,0.1,5,1000x50,1,27,28.0,True,28
synthetic,MAR,random,0.1,5,1000x50,2,23,24.0,True,24
synthetic,MAR,random,0.1,5,1000x50,3,22,23.0,True,23
synthetic,MAR,random,0.1,5,1000x50,4,25,26.0,True,26
synthetic,MAR,random,0.1,5,1000x50,5,23,24.0,True,24
synthetic,MAR,random,0.1,5,1000x50,6,23,24.0,True,24
synthetic,MAR,random,0.1,5,1000x50,7,24,25.0,True,25
synthetic,MAR,random,0.1,5,1000x50,8,24,25.0,True,25
synthetic,MAR,random,0.1,5,1000x50,9,22,23.0,True,23
synthetic,MAR,random,0.1,5,1000x50,10,24,25.0,True,25
synthetic,MAR,random,0.1,5,1000x50,11,23,24.0,True,24
synthetic,MAR,random,0.1,5,1000x50,12,23,24.0,True,24
synthetic,MAR,random,0.1,5,1000x50,13,24,25.0,True,25
synthetic,MAR,random,0.1,5,1000x50,14,22,23.0,True,23
synthetic,MAR,random,0.1,5,1000x50,15,25,26.0,True,26
synthetic,MAR,random,0.1,5,1000x50,16,24,25.0,True,25
synthetic,MAR,random,0.1,5,1000x50,17,25,26.0,True,26
synthetic,MAR,random,0.1,5,1000x50,18,24,25.0,True,25
synthetic,MAR,random,0.1,5,1000x50,19,23,24.0,True,24
synthetic,MAR,random,0.3,5,1000x50,0,23,24.0,True,24
synthetic,MAR,random,0.3,5,1000x50,1,20,21.0,True,21
synthetic,MAR,random,0.3,5,1000x50,2,22,23.0,True,23
synthetic,MAR,random,0.3,5,1000x50,3,26,27.0,True,27
synthetic,MAR,random,0.3,5,1000x50,4,21,22.0,True,22
synthetic,MAR,random,0.3,5,1000x50,5,23,24.0,True,24
synthetic,MAR,random,0.3,5,1000x50,6,24,25.0,True,25
synthetic,MAR,random,0.3,5,1000x50,7,22,23.0,True,23
synthetic,MAR,random,0.3,5,1000x50,8,24,25.0,True,25
synthetic,MAR,random,0.3,5,1000x50,9,25,26.0,True,26
