dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,method,n_reps,rmse_mean,rmse_median,rmse_std,rmse_ci_low,rmse_ci_high,mae_mean,mae_median,mae_std,mae_ci_low,mae_ci_high,wall_time_sec_mean,wall_time_sec_median,wall_time_sec_std,wall_time_sec_ci_low,wall_time_sec_ci_high,vbpca_mean_variance_mean,vbpca_mean_variance_median,vbpca_mean_variance_std,vbpca_mean_variance_ci_low,vbpca_mean_variance_ci_high
diabetes,MAR,block,0.1,5,1000x50,mean_pca,200,0.8726203620787979,0.8733544791846539,0.08568259866958526,0.7135977303101043,1.034829219534921,0.6939164886455214,0.690612913499981,0.08280105377742465,0.536479834218109,0.859671475186015,0.0015030633747300675,0.0015061015037644999,4.82567767709321e-05,0.0013995330249599101,0.0015850036530536877,,,,,
diabetes,MAR,block,0.1,5,1000x50,mice_pca,200,0.6981855337653077,0.6941868687332005,0.1599881146618673,0.3505763887042206,1.0075112302827753,0.5105692792375005,0.49137616871043643,0.14860134622528315,0.23849066517957096,0.8266539186576043,0.012864278740016695,0.008721387002879,0.013513637476685504,0.00573710979642775,0.06496807959956641,,,,,
diabetes,MAR,block,0.1,5,1000x50,vbpca_vb_modern,200,0.8156132007177302,0.7998368231810775,0.13926695448539397,0.537643723132001,1.0723646148578327,0.6219861069863372,0.6025883871418956,0.12457689207705488,0.4017086038530659,0.8677086950746404,25.43284457531492,28.84512366800118,4.271504844209014,19.35477480249883,30.279266879399803,0.13637869738715225,0.13668015929406674,0.012752877191391693,0.11156695915332042,0.1591109048416771
diabetes,MAR,block,0.3,5,1000x50,mean_pca,200,0.06439397983518791,0.0620600634218538,0.011549300835603874,0.048113236986553946,0.09169401490069978,0.05163446850732969,0.049248827562641054,0.010673269684479578,0.03809383585345534,0.07680228736659929,0.0014877292395976355,0.00149525850065395,5.0154015771878704e-05,0.0013766034209765701,0.001569058399581915,,,,,
diabetes,MAR,block,0.3,5,1000x50,mice_pca,200,0.06439397983518791,0.0620600634218538,0.011549300835603874,0.048113236986553946,0.09169401490069978,0.05163446850732969,0.049248827562641054,0.010673269684479578,0.03809383585345534,0.07680228736659929,0.003813459035300135,0.00384741349989775,0.0001710530927865871,0.00345984424620833,0.004049276276236848,,,,,
diabetes,MAR,block,0.3,5,1000x50,vbpca_vb_modern,200,0.06519019613308254,0.06211112893006635,0.015938334981781637,0.04811323698655385,0.09587272296672089,0.052150983263331854,0.0494071475556792,0.012687482240333023,0.03809383585345534,0.08229750683346372,23.221268067164928,26.28549855000165,3.878709659014921,17.663991718701617,27.591940440125107,33.54490140860525,30.800884201414682,39.29016307155647,28.26064304015265,32.96687872409655
diabetes,MAR,block,0.5,5,1000x50,mean_pca,200,0.06469846525531746,0.06260632371788011,0.01322712503825879,0.04820394266856983,0.10491320357764203,0.05190464986408801,0.04957727766205735,0.011846109742097728,0.03832521777490969,0.08675013012914917,0.0014933039299648496,0.00149628700091845,4.605784182424133e-05,0.00137770963083311,0.0015793818743986626,,,,,
diabetes,MAR,block,0.5,5,1000x50,mice_pca,200,0.06469846525531746,0.06260632371788011,0.01322712503825879,0.04820394266856983,0.10491320357764203,0.05190464986408801,0.04957727766205735,0.011846109742097728,0.03832521777490969,0.08675013012914917,0.003844437505213084,0.0038555610044568,0.00018562760360650116,0.00344667905137604,0.004139787450003427,,,,,
diabetes,MAR,block,0.5,5,1000x50,vbpca_vb_modern,200,0.06477504951233976,0.06260632371788,0.013267643824628637,0.04820394266856983,0.10491320357764192,0.051978188980977634,0.04957727766205735,0.011894885128434557,0.03832521777490969,0.08675013012914917,23.34452240743496,26.294447175998357,3.885087735244367,17.612702763224114,27.623830880949207,33.03011564834059,30.752869436874338,32.5452563674717,28.62311585200723,32.61494334296725
diabetes,MAR,random,0.1,5,1000x50,mean_pca,200,0.8481711562143162,0.8480051672199258,0.03516273614922806,0.7874641360405626,0.9172838871941941,0.6664796981971939,0.6662827984912691,0.02768968070881307,0.6161578291962055,0.7167483314244406,0.0015060193750104601,0.0015144790013436999,4.647606792690823e-05,0.0013995530507599102,0.001586869803395495,,,,,
