method,rmse,mae,wall_time_sec,vbpca_mean_variance,mice_converged,mice_n_iter,mice_retry_used,vbpca_selected_k,k_used,dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,replicate_id,seed_data,seed_mask,seed_method,n_samples,n_features,n_holdout,scaling,vbpca_model_selection,use_selected_k_for_all_methods
mean_pca,0.697576636347757,0.5287202943802771,0.003588023995689582,,,,,26,26,synthetic,MCAR,random,0.1,5,1000x50,8,518022750,1770045348,1700981397,1000,50,5000,zscore_observed_only,True,True
mice_pca,0.07011661164865488,0.05531357245006774,0.7548651350007276,,True,5.0,False,26,26,synthetic,MCAR,random,0.1,5,1000x50,8,518022750,1770045348,1700981397,1000,50,5000,zscore_observed_only,True,True
vbpca_vb_modern,0.0683717226160873,0.05390881144161557,1411.1226307239995,0.0010641106989462943,,,,26,26,synthetic,MCAR,random,0.1,5,1000x50,8,518022750,1770045348,1700981397,1000,50,5000,zscore_observed_only,True,True
mean_pca,0.66481511922864,0.4906000955847788,0.0029180290002841502,,,,,23,23,synthetic,MCAR,random,0.1,5,1000x50,9,459052467,879613214,1592288369,1000,50,5000,zscore_observed_only,True,True
mice_pca,0.06375973986317186,0.04953409169547487,0.7149505000052159,,True,6.0,False,23,23,synthetic,MCAR,random,0.1,5,1000x50,9,459052467,879613214,1592288369,1000,50,5000,zscore_observed_only,True,True
vbpca_vb_modern,0.0626362120308015,0.048590318359167974,964.0511944829996,0.0008937282026428939,,,,23,23,synthetic,MCAR,random,0.1,5,1000x50,9,459052467,879613214,1592288369,1000,50,5000,zscore_observed_only,True,True
mean_pca,0.641035165607858,0.4897954637316121,0.003559160999429878,,,,,24,24,synthetic,MCAR,random,0.1,5,1000x50,10,318317950,1352786287,941907327,1000,50,5000,zscore_observed_only,True,True
mice_pca,0.07108055791954698,0.05530594306366878,0.7810597970019444,,True,5.0,False,24,24,synthetic,MCAR,random,0.1,5,1000x50,10,318317950,1352786287,941907327,1000,50,5000,zscore_observed_only,True,True
vbpca_vb_modern,0.06850064028939405,0.053181841393793026,1356.538060095998,0.001077902178473871,,,,24,24,synthetic,MCAR,random,0.1,5,1000x50,10,318317950,1352786287,941907327,1000,50,5000,zscore_observed_only,True,True
mean_pca,0.710836896714923,0.5400589382134434,0.003713577003509272,,,,,27,27,synthetic,MCAR,random,0.1,5,1000x50,11,1991591921,1587352716,498019042,1000,50,5000,zscore_observed_only,True,True
