dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,comparator,reference,metric,n_reps,delta_mean,delta_median,delta_std,delta_ci_low,delta_ci_high,comparator_win_rate,vbpca_win_rate
diabetes,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.08546046199970042,0.08482158768190995,0.01081664458648664,0.06418924839688009,0.10528504274140268,0.0,1.0
diabetes,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,0.03008592260595768,0.03009868208280203,0.014601153999312617,0.0055211973645694894,0.06765949631977129,0.01,0.99
diabetes,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.08393035853612249,0.08375825268791365,0.013403316326960958,0.05511911370722835,0.10804615984322,0.0,1.0
diabetes,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,0.061325041979969123,0.059009547883911995,0.023199350591437472,0.023817739371491852,0.10715079523452055,0.0,1.0
diabetes,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-16.66941833418972,-18.857657055501477,2.834825353647374,-19.813618939971274,-12.605696313850967,1.0,0.0
diabetes,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-16.23497984510992,-18.3448170915035,2.813800796649912,-19.333249105043613,-12.201289913096298,1.0,0.0
diabetes,MCAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.058082414841809184,0.06461989897777765,0.06479443246942161,-0.05308129737667075,0.16182718604693982,0.225,0.775
diabetes,MCAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-0.09744427991989056,-0.09600255775667235,0.04973469743977838,-0.19016862133205942,0.0013506075799156064,0.97,0.03
diabetes,MCAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.03575454329844899,0.046036241875499706,0.07927190864672491,-0.11333877915217212,0.17294573939353736,0.35,0.65
diabetes,MCAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,-0.10697434032077052,-0.10069716603200105,0.061501535544887895,-0.25099802681516337,-0.002245954081745975,0.98,0.02
diabetes,MCAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-26.12591566689014,-29.06485954949676,4.905661023688979,-31.210738395296904,-16.142305139400925,1.0,0.0
diabetes,MCAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-26.115399119564827,-29.057816618998913,4.905588978362888,-31.203661658118655,-16.136503560465645,1.0,0.0
diabetes,MCAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,3.499057686099844e-05,0.0,0.000494841504922785,-1.0408340855860843e-16,2.0122792321330962e-16,0.08,0.23
diabetes,MCAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,3.499057686099844e-05,0.0,0.000494841504922785,-1.0408340855860843e-16,2.0122792321330962e-16,0.08,0.23
diabetes,MCAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,4.809272702564843e-05,0.0,0.0006801327687037291,-9.731798700229887e-17,1.682681771697633e-16,0.065,0.115
diabetes,MCAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,4.809272702564843e-05,0.0,0.0006801327687037291,-9.731798700229887e-17,1.682681771697633e-16,0.065,0.115
diabetes,MCAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-23.06060924587484,-26.200325021996832,3.894473311350976,-27.652130623150338,-17.691391391551953,1.0,0.0
diabetes,MCAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-23.0582906170702,-26.197957787502673,3.8943873279151044,-27.649683314103097,-17.68924280400224,1.0,0.0
