dataset,mechanism,pattern,missing_rate,n_components,synthetic_shape,method,n_reps,rmse_mean,rmse_median,rmse_std,rmse_ci_low,rmse_ci_high,mae_mean,mae_median,mae_std,mae_ci_low,mae_ci_high,wall_time_sec_mean,wall_time_sec_median,wall_time_sec_std,wall_time_sec_ci_low,wall_time_sec_ci_high,vbpca_mean_variance_mean,vbpca_mean_variance_median,vbpca_mean_variance_std,vbpca_mean_variance_ci_low,vbpca_mean_variance_ci_high
diabetes,MAR,block,0.1,5,1000x50,mean_pca,20,0.8692663984473052,0.8824944571961619,0.07152840718938556,0.773598126916839,0.9677589210582443,0.6857562374363491,0.6778687210946215,0.07024097632227443,0.5917380782533554,0.8016065920414716,0.0014040955502423,0.0013422950014500999,0.00024573252287643505,0.001219507000041575,0.002101123224747362,,,,,
diabetes,MAR,block,0.1,5,1000x50,mice_pca,20,0.7075848558703687,0.699805844711956,0.12415714967511968,0.5229961933854178,0.9230113738880874,0.5086839115932005,0.4686556105783818,0.12831267113378353,0.36869598151219934,0.7448193338315179,0.013135964800312589,0.00846960450144245,0.013018400501087789,0.00641238422622331,0.048123887425481314,,,,,
diabetes,MAR,block,0.1,5,1000x50,vbpca_vb_modern,20,0.7864217424067016,0.7475280745337093,0.09667332288062677,0.6602190051655398,0.9511639458579431,0.59699442634587,0.5661030900150137,0.09339707885643135,0.478222361920083,0.7592129891976049,21.585369939899827,23.911510210500637,3.358882659891734,16.54959649869925,24.280030823175455,0.13999728299155917,0.13950796835104035,0.00661560223498497,0.12790879765662286,0.15162754149410215
diabetes,MAR,block,0.3,5,1000x50,mean_pca,20,0.07164067471322791,0.0680803214024894,0.01403267472369653,0.05084086995356128,0.0965048386389715,0.0580625594872642,0.05548951929812475,0.013391795947233123,0.04013291348121445,0.08195386689377557,0.0013433626998448352,0.0013457589993777,6.726940464936229e-05,0.0012514283743257425,0.0014874443755615726,,,,,
diabetes,MAR,block,0.3,5,1000x50,mice_pca,20,0.07164067471322791,0.0680803214024894,0.01403267472369653,0.05084086995356128,0.0965048386389715,0.0580625594872642,0.05548951929812475,0.013391795947233123,0.04013291348121445,0.08195386689377557,0.0037866687502173097,0.00381883949921755,0.00012583333774065345,0.0035406359990701477,0.003972607525247395,,,,,
diabetes,MAR,block,0.3,5,1000x50,vbpca_vb_modern,20,0.07164067471322791,0.0680803214024894,0.014032674723696527,0.05084086995356128,0.0965048386389715,0.05806255948726417,0.05548951929812475,0.013391795947233122,0.04013291348121445,0.08195386689377557,19.41227407855022,21.73626723649977,3.0999650178868046,14.846475459925022,22.071512733474997,25.7448404608231,25.625744169254254,1.301119267963472,23.385723885266003,28.268879893677042
diabetes,MAR,block,0.5,5,1000x50,mean_pca,20,0.06230325251183899,0.0605971194269586,0.01060426192317189,0.049289740077627854,0.08454160684780683,0.04968701803241181,0.047895784594366,0.009446816357341722,0.03964309795989568,0.07059457089464051,0.001323462100117405,0.0013223420010035,4.938786085897315e-05,0.0012304122758904801,0.0014005466488014723,,,,,
diabetes,MAR,block,0.5,5,1000x50,mice_pca,20,0.06230325251183899,0.0605971194269586,0.01060426192317189,0.049289740077627854,0.08454160684780683,0.04968701803241181,0.047895784594366,0.009446816357341722,0.03964309795989568,0.07059457089464051,0.0037588079498163595,0.00377973050126455,0.00011446357208736297,0.003521883850225955,0.003934069075421528,,,,,
diabetes,MAR,block,0.5,5,1000x50,vbpca_vb_modern,20,0.06230325251183899,0.060597119426958654,0.010604261923171904,0.049289740077627854,0.08454160684780689,0.04968701803241181,0.047895784594366,0.009446816357341731,0.03964309795989568,0.07059457089464052,18.813113229999907,19.277175288500075,3.2492392662671734,14.908412883423535,22.265261240399834,26.055157648167835,26.06730419648717,1.3428138520713184,23.79997160210052,28.07002455775426
diabetes,MAR,random,0.1,5,1000x50,mean_pca,20,0.8053384153979166,0.8087694120737097,0.031235168639942502,0.7532322459965928,0.8569819422972282,0.6329223659053067,0.6351746685136133,0.02681993838360207,0.5899356669242404,0.6733539259035971,0.0014126750500508352,0.00133383700085685,0.00027702505308041807,0.0012027134751405875,0.0020764321002388073,,,,,
diabetes,MAR,random,0.1,5,1000x50,mice_pca,20,0.7163948054269551,0.7169805190245324,0.029292737595669936,0.6648240209702265,0.7702312423231111,0.5183545944261393,0.5225267146804647,0.025256345760862574,0.4740820712428555,0.559990753987963,0.36999396449955385,0.34447761600131344,0.09019498897867984,0.2679947010245087,0.5171519638720383,,,,,
diabetes,MAR,random,0.1,5,1000x50,vbpca_vb_modern,20,0.7532607307678791,0.7500332960339323,0.029014437519466914,0.7075072084563243,0.8110575989560184,0.5754369529410241,0.5735374532354254,0.026158576642414035,0.5320361285355909,0.6246994928104737,21.27887462860017,23.969861487501475,3.4879412760659023,16.430877780149878,24.35111686109949,0.1425747348260759,0.14266384570230414,0.0008689641245689173,0.140544655687967,0.1440751000132908
diabetes,MAR,random,0.3,5,1000x50,mean_pca,20,0.895723753023665,0.892494009937304,0.025503646366608186,0.8557393744893367,0.9399496449932891,0.7079637560121654,0.7048273798673248,0.01914706235945646,0.6810634342850614,0.750270425837474,0.00138586549983296,0.0013976110003568,6.289375132987692e-05,0.0012639929738724749,0.0014796593246501225,,,,,
diabetes,MAR,random,0.3,5,1000x50,mice_pca,20,0.8370156951896208,0.8269495468006014,0.03208744672215871,0.7883350745153721,0.8845598981213881,0.6183232496153743,0.615997838179499,0.021974606220458385,0.5828329534517707,0.6517131871643607,0.477146483749857,0.5018458034992364,0.08097520426187857,0.3048947060732644,0.5620410497000193,,,,,
diabetes,MAR,random,0.3,5,1000x50,vbpca_vb_modern,20,0.8268900658683132,0.8282184121638627,0.021195437765003877,0.7921687426381125,0.8588817647221912,0.6394173020546758,0.6380672665800117,0.01708062897761021,0.6102467524611102,0.6661099906031674,17.726837734050243,19.838252247000128,2.850369536229235,13.530154020925238,20.156669103949298,0.19113234215296468,0.1912697399907726,0.002617268173328149,0.18679547395251292,0.19575744981310814
diabetes,MAR,random,0.5,5,1000x50,mean_pca,20,0.971383888643864,0.9737524076173225,0.032135976225519905,0.9244802255698812,1.0329448910296881,0.7710149244875908,0.7735658642991523,0.022254764255055993,0.7382183395730753,0.8171515664661331,0.0014153046497085051,0.0014149685011943,9.390225380948054e-05,0.00130450039705459,0.0016228429750299246,,,,,
diabetes,MAR,random,0.5,5,1000x50,mice_pca,20,0.9514054515836436,0.9469907547030377,0.03572500653805882,0.899720953259672,1.023755295367728,0.7214456256160053,0.7198307189484212,0.024235601602537852,0.6807001470182813,0.7733956124506915,0.4026510576999499,0.4560689435002132,0.11481406301193521,0.19633903572366757,0.5278580626736584,,,,,
diabetes,MAR,random,0.5,5,1000x50,vbpca_vb_modern,20,0.9000922225528353,0.8985981727290795,0.026185888891276068,0.8655435738494281,0.9523539571011134,0.7004808451706329,0.7001824963514299,0.018913164500225725,0.6733627719901125,0.7395480403235768,13.064924689050349,12.363821157499842,2.1898155053923096,10.610279504874779,15.889174403851756,0.27141618532411815,0.27253809233632786,0.005936813888581689,0.2602394864162951,0.2798826195287605
diabetes,MCAR,block,0.1,5,1000x50,mean_pca,20,0.7891344184743053,0.785449283589683,0.09086468233825487,0.6077944881380969,0.9241552113417095,0.6338862760419994,0.6177729770866914,0.09066032875291799,0.476723658230677,0.7918090690377032,0.0013666980499692201,0.0013345839997782002,0.00019522723822664178,0.00122874967473758,0.0018017006259469365,,,,,
diabetes,MCAR,block,0.1,5,1000x50,mice_pca,20,0.6397690627122337,0.6408148260801936,0.17461776166538182,0.3355100078891368,0.9401244029878041,0.46524171401232917,0.41758886562999487,0.15222835044780977,0.2385328703314702,0.7534547108608114,0.013515288649614307,0.0115799539998988,0.006325680972745833,0.00650676520090194,0.025102036974567372,,,,,
diabetes,MCAR,block,0.1,5,1000x50,vbpca_vb_modern,20,0.7183963606727399,0.7022387095189135,0.13100660361780755,0.49844414106540036,0.9349161212726712,0.5495027871077314,0.5257645351997899,0.1128177107415791,0.37623490403991905,0.7566359558138498,20.6781816150502,21.237354452499858,3.5409831991336898,16.520401195901286,24.30847269305014,0.1403901035075327,0.14109821186033394,0.007747606321927036,0.12499633194686946,0.15216004380495662
diabetes,MCAR,block,0.3,5,1000x50,mean_pca,20,0.06073019293154629,0.06069898832471235,0.007780428700139277,0.05029944255755695,0.07583284633852799,0.04890945981538967,0.047535694707250595,0.006893010383532499,0.039836525000610495,0.06325126630325525,0.00135997415072775,0.0013710580005863,0.0001309336908712262,0.00122580112738429,0.0016377331744479094,,,,,
diabetes,MCAR,block,0.3,5,1000x50,mice_pca,20,0.06073019293154629,0.06069898832471235,0.007780428700139277,0.05029944255755695,0.07583284633852799,0.04890945981538967,0.047535694707250595,0.006893010383532499,0.039836525000610495,0.06325126630325525,0.0037686845502321,0.0038185965004231496,0.00016882741731787424,0.0034787113524543624,0.004028403525444414,,,,,
diabetes,MCAR,block,0.3,5,1000x50,vbpca_vb_modern,20,0.06073019293154649,0.06069898832471235,0.007780428700139148,0.050299442557557,0.07583284633852799,0.04890945981538992,0.04753569470725065,0.006893010383532332,0.039836525000610495,0.06325126630325525,18.922115932249834,19.43582253850218,3.272584205477801,15.067720855699099,22.3949404773738,26.716527670659882,26.948786483798884,1.0497695149547766,24.67086212107894,28.27295769715994
