dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,replicate_id,seed_data,seed_mask,seed_method,n_samples,n_features,n_holdout,scaling,vbpca_model_selection,use_selected_k_for_all_methods,trace_k,trace_rms,trace_prms,trace_cost
synthetic,MCAR,random,0.1,5,1000x50,1,115579757,1952249162,473219222,1000,50,5000,zscore_observed_only,True,True,14,0.047079439769176584,,
synthetic,MCAR,random,0.1,5,1000x50,1,115579757,1952249162,473219222,1000,50,5000,zscore_observed_only,True,True,15,0.046183270655055196,,
synthetic,MCAR,random,0.1,5,1000x50,1,115579757,1952249162,473219222,1000,50,5000,zscore_observed_only,True,True,16,0.045345885960522504,,
synthetic,MCAR,random,0.1,5,1000x50,1,115579757,1952249162,473219222,1000,50,5000,zscore_observed_only,True,True,17,0.04447992750306159,,
synthetic,MCAR,random,0.1,5,1000x50,1,115579757,1952249162,473219222,1000,50,5000,zscore_observed_only,True,True,18,0.04370731405694462,,
synthetic,MCAR,random,0.1,5,1000x50,1,115579757,1952249162,473219222,1000,50,5000,zscore_observed_only,True,True,19,0.04285399421915408,,
synthetic,MCAR,random,0.1,5,1000x50,1,115579757,1952249162,473219222,1000,50,5000,zscore_observed_only,True,True,20,0.04209699555080648,,
synthetic,MCAR,random,0.1,5,1000x50,1,115579757,1952249162,473219222,1000,50,5000,zscore_observed_only,True,True,21,0.041323693154076184,,
synthetic,MCAR,random,0.1,5,1000x50,1,115579757,1952249162,473219222,1000,50,5000,zscore_observed_only,True,True,22,0.04069375058196429,,
synthetic,MCAR,random,0.1,5,1000x50,1,115579757,1952249162,473219222,1000,50,5000,zscore_observed_only,True,True,23,0.04012543771205318,,
synthetic,MCAR,random,0.1,5,1000x50,1,115579757,1952249162,473219222,1000,50,5000,zscore_observed_only,True,True,24,0.04013852409510468,,
synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True,1,0.8820656749500089,,
synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True,2,0.777539833270188,,
synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True,3,0.6682453510963259,,
synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True,4,0.556880614092968,,
synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True,5,0.444776773839612,,
synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True,6,0.32823299446208914,,
synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True,7,0.2357556704749914,,
synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True,8,0.060163373389271343,,
