method,rmse,mae,wall_time_sec,vbpca_mean_variance,mice_converged,mice_n_iter,mice_retry_used,dataset,mechanism,pattern,missing_rate,n_components,synthetic_shape,replicate_id,seed_data,seed_mask,seed_method,n_samples,n_features,n_holdout
mean_pca,0.7088169948520091,0.5576380535350908,0.0025034009995579254,,,,,synthetic,MCAR,random,0.5,5,1000x50,2,318317950,1352786287,941907327,1000,50,25000
mice_pca,0.4674225318560625,0.35007590596777294,0.37949493500127573,,True,4.0,False,synthetic,MCAR,random,0.5,5,1000x50,2,318317950,1352786287,941907327,1000,50,25000
vbpca_vb_modern,0.5274058710077429,0.3968493746359315,11.867424563000895,0.05149737091926547,,,,synthetic,MCAR,random,0.5,5,1000x50,2,318317950,1352786287,941907327,1000,50,25000
mean_pca,0.7083498539825368,0.5607393172419527,0.0021983360002195695,,,,,synthetic,MCAR,random,0.5,5,1000x50,3,1991591921,1587352716,498019042,1000,50,25000
mice_pca,0.47469632146784735,0.35955657469090097,0.7252531569993153,,True,8.0,False,synthetic,MCAR,random,0.5,5,1000x50,3,1991591921,1587352716,498019042,1000,50,25000
vbpca_vb_modern,0.5439942254006306,0.412992910621662,10.525729660999787,0.05349065964764206,,,,synthetic,MCAR,random,0.5,5,1000x50,3,1991591921,1587352716,498019042,1000,50,25000
mean_pca,0.7312681511410137,0.5708728313923183,0.0018558750016381964,,,,,synthetic,MCAR,block,0.1,5,1000x50,0,1793255565,1716108145,457504877,1000,50,5000
mice_pca,0.5416981442521727,0.40743706164101384,0.770439683999939,,True,17.0,True,synthetic,MCAR,block,0.1,5,1000x50,0,1793255565,1716108145,457504877,1000,50,5000
vbpca_vb_modern,0.6431932519814294,0.48652495491447445,35.22136254800171,0.03155253146795287,,,,synthetic,MCAR,block,0.1,5,1000x50,0,1793255565,1716108145,457504877,1000,50,5000
mean_pca,0.7159643304827442,0.5586894574777982,0.002156110998839722,,,,,synthetic,MCAR,block,0.1,5,1000x50,1,1112750942,1705426420,497261917,1000,50,5000
mice_pca,0.5530286636318555,0.4076994412609192,0.7383107250007015,,True,13.0,True,synthetic,MCAR,block,0.1,5,1000x50,1,1112750942,1705426420,497261917,1000,50,5000
vbpca_vb_modern,0.6408858583275507,0.4798620415283387,37.02073987499898,0.03145108311539722,,,,synthetic,MCAR,block,0.1,5,1000x50,1,1112750942,1705426420,497261917,1000,50,5000
mean_pca,0.6502531128407317,0.5088147892842239,0.0020185859993944177,,,,,synthetic,MCAR,block,0.1,5,1000x50,2,525711219,356276112,16319298,1000,50,5000
mice_pca,0.4083190927060717,0.30280078154931056,0.7019189620004909,,True,13.0,True,synthetic,MCAR,block,0.1,5,1000x50,2,525711219,356276112,16319298,1000,50,5000
vbpca_vb_modern,0.5436566813335371,0.4014629408905653,26.30526954800007,0.02873390545388361,,,,synthetic,MCAR,block,0.1,5,1000x50,2,525711219,356276112,16319298,1000,50,5000
mean_pca,0.6728868456034872,0.527773872966721,0.0020114879989705514,,,,,synthetic,MCAR,block,0.1,5,1000x50,3,1068993669,34687563,1251391636,1000,50,5000
mice_pca,0.49740650252788254,0.3725764157824665,0.6718805469990912,,True,13.0,True,synthetic,MCAR,block,0.1,5,1000x50,3,1068993669,34687563,1251391636,1000,50,5000
vbpca_vb_modern,0.5671481601601187,0.4283207653959218,32.761239106001085,0.029616444371652107,,,,synthetic,MCAR,block,0.1,5,1000x50,3,1068993669,34687563,1251391636,1000,50,5000
mean_pca,1.862503798189216,1.51631297461269,0.00196215699907043,,,,,synthetic,MCAR,block,0.3,5,1000x50,0,892880451,395862813,777045672,1000,50,11988
mice_pca,1.8625037981892212,1.5163129746126958,0.01249927200115053,,True,1.0,False,synthetic,MCAR,block,0.3,5,1000x50,0,892880451,395862813,777045672,1000,50,11988
vbpca_vb_modern,0.9898202607447443,0.7874367597810052,21.19815358699998,69.43984314267561,,,,synthetic,MCAR,block,0.3,5,1000x50,0,892880451,395862813,777045672,1000,50,11988
mean_pca,1.547631466288101,1.2581397562529644,0.002136145001713885,,,,,synthetic,MCAR,block,0.3,5,1000x50,1,31986589,307974985,1011750904,1000,50,11988
mice_pca,1.5476314662881003,1.2581397562529646,0.013930993000030867,,True,1.0,False,synthetic,MCAR,block,0.3,5,1000x50,1,31986589,307974985,1011750904,1000,50,11988
vbpca_vb_modern,1.0401643991239893,0.8247429761789331,24.06966701700003,69.51566196627978,,,,synthetic,MCAR,block,0.3,5,1000x50,1,31986589,307974985,1011750904,1000,50,11988
mean_pca,1.197713654779389,0.9517871530348827,0.002008753999689361,,,,,synthetic,MCAR,block,0.3,5,1000x50,2,166009390,1563890638,551657761,1000,50,11988
mice_pca,1.1977136547793916,0.9517871530348845,0.012548656999570085,,True,1.0,False,synthetic,MCAR,block,0.3,5,1000x50,2,166009390,1563890638,551657761,1000,50,11988
vbpca_vb_modern,0.9926405474733142,0.7842231901860157,21.177671215999,68.83588162066218,,,,synthetic,MCAR,block,0.3,5,1000x50,2,166009390,1563890638,551657761,1000,50,11988
mean_pca,1.6038512161071152,1.2698170634176205,0.002071608001642744,,,,,synthetic,MCAR,block,0.3,5,1000x50,3,1972679534,364416294,1343324047,1000,50,11988
mice_pca,1.6038512161070986,1.2698170634176082,0.012620790999790188,,True,1.0,False,synthetic,MCAR,block,0.3,5,1000x50,3,1972679534,364416294,1343324047,1000,50,11988
vbpca_vb_modern,0.9249366974681044,0.7284687064594357,21.856540965000022,68.17627568573366,,,,synthetic,MCAR,block,0.3,5,1000x50,3,1972679534,364416294,1343324047,1000,50,11988
mean_pca,1.4186856286948089,1.1490336060700044,0.001987036999707925,,,,,synthetic,MCAR,block,0.5,5,1000x50,0,1106683805,1969505726,1326696624,1000,50,11988
mice_pca,1.4186856286948106,1.1490336060700053,0.0124496549997275,,True,1.0,False,synthetic,MCAR,block,0.5,5,1000x50,0,1106683805,1969505726,1326696624,1000,50,11988
vbpca_vb_modern,0.9905613151774499,0.7823725711045789,22.269844967999234,69.66980409891812,,,,synthetic,MCAR,block,0.5,5,1000x50,0,1106683805,1969505726,1326696624,1000,50,11988
mean_pca,1.8546465952133162,1.5181286778063139,0.0019239660014136462,,,,,synthetic,MCAR,block,0.5,5,1000x50,1,1856908173,996800583,468458252,1000,50,11988
mice_pca,1.854646595213332,1.518128677806325,0.01242108000042208,,True,1.0,False,synthetic,MCAR,block,0.5,5,1000x50,1,1856908173,996800583,468458252,1000,50,11988
vbpca_vb_modern,0.9588916292054107,0.751183388621878,22.245638881999184,68.54314459795195,,,,synthetic,MCAR,block,0.5,5,1000x50,1,1856908173,996800583,468458252,1000,50,11988
mean_pca,1.5403062603302948,1.2553918708933682,0.0019138310017297044,,,,,synthetic,MCAR,block,0.5,5,1000x50,2,406430445,1859994493,436386690,1000,50,11988
mice_pca,1.540306260330291,1.2553918708933656,0.012181748999864794,,True,1.0,False,synthetic,MCAR,block,0.5,5,1000x50,2,406430445,1859994493,436386690,1000,50,11988
vbpca_vb_modern,0.9680593725072151,0.7686337959576259,22.293080060000648,70.21800692822131,,,,synthetic,MCAR,block,0.5,5,1000x50,2,406430445,1859994493,436386690,1000,50,11988
mean_pca,1.419721102596155,1.1143984858905596,0.0020373450006445637,,,,,synthetic,MCAR,block,0.5,5,1000x50,3,1569277833,1132670987,596711166,1000,50,11988
