method,rmse,mae,wall_time_sec,vbpca_mean_variance,mice_converged,mice_n_iter,mice_retry_used,dataset,mechanism,pattern,missing_rate,n_components,synthetic_shape,replicate_id,seed_data,seed_mask,seed_method,n_samples,n_features,n_holdout
mean_pca,0.5589115331174564,0.4276675649112891,0.002340566999919247,,,,,synthetic,MCAR,random,0.1,5,1000x50,0,33158374,1465339467,1273345680,1000,50,5000
mice_pca,0.48152894352030506,0.36228697428786055,0.9573357899989787,,True,7.0,False,synthetic,MCAR,random,0.1,5,1000x50,0,33158374,1465339467,1273345680,1000,50,5000
vbpca_vb_modern,0.5338762850843038,0.40314188207194607,25.101296987999376,0.02900876620989595,,,,synthetic,MCAR,random,0.1,5,1000x50,0,33158374,1465339467,1273345680,1000,50,5000
mean_pca,0.5608469283022028,0.42598132551049195,0.0024713759994483553,,,,,synthetic,MCAR,random,0.1,5,1000x50,1,115579757,1952249162,473219222,1000,50,5000
mice_pca,0.48717640682451546,0.3605070492831902,0.9599143659997935,,True,7.0,False,synthetic,MCAR,random,0.1,5,1000x50,1,115579757,1952249162,473219222,1000,50,5000
vbpca_vb_modern,0.5349795922475784,0.3987701999662479,26.746848401000534,0.02975093897087064,,,,synthetic,MCAR,random,0.1,5,1000x50,1,115579757,1952249162,473219222,1000,50,5000
mean_pca,0.5261507271957228,0.39977884637501626,0.0024369759994442575,,,,,synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000
mice_pca,0.4434693468287023,0.3229458699993108,0.9679027199999837,,True,7.0,False,synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000
vbpca_vb_modern,0.48829844519154786,0.3582962083168942,25.005773134000265,0.025629708270549098,,,,synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000
mean_pca,0.5655489427017282,0.43737445770819094,0.002282525001646718,,,,,synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000
mice_pca,0.4933976222504423,0.37199781461317827,0.933015381999212,,True,7.0,False,synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000
vbpca_vb_modern,0.5427423601137649,0.4133286706734518,25.342379233999964,0.032029102130480276,,,,synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000
mean_pca,0.6030539678009972,0.47096645858767305,0.002774149999822839,,,,,synthetic,MCAR,random,0.3,5,1000x50,0,969357255,1982868283,965220468,1000,50,15000
mice_pca,0.4488797518784767,0.33157013373348715,0.9946996899998339,,True,8.0,False,synthetic,MCAR,random,0.3,5,1000x50,0,969357255,1982868283,965220468,1000,50,15000
vbpca_vb_modern,0.5050889626786134,0.3757316298168156,20.616252537000037,0.03516273021773976,,,,synthetic,MCAR,random,0.3,5,1000x50,0,969357255,1982868283,965220468,1000,50,15000
mean_pca,0.635618913942264,0.49487147875645865,0.0031529919997410616,,,,,synthetic,MCAR,random,0.3,5,1000x50,1,593938996,1693852805,1760409515,1000,50,15000
mice_pca,0.49613160900072273,0.3693091151449255,1.5976891979989887,,True,13.0,False,synthetic,MCAR,random,0.3,5,1000x50,1,593938996,1693852805,1760409515,1000,50,15000
vbpca_vb_modern,0.5567807003382852,0.41860907681466,26.22006713599876,0.041270102574186396,,,,synthetic,MCAR,random,0.3,5,1000x50,1,593938996,1693852805,1760409515,1000,50,15000
mean_pca,0.5905776390596313,0.45902691525021183,0.002711122999244253,,,,,synthetic,MCAR,random,0.3,5,1000x50,2,1850933495,1911030005,53841429,1000,50,15000
mice_pca,0.4399322093945262,0.32169098356610243,1.1082274990003498,,True,9.0,False,synthetic,MCAR,random,0.3,5,1000x50,2,1850933495,1911030005,53841429,1000,50,15000
vbpca_vb_modern,0.49350536081231705,0.36325390302471894,24.879514012000072,0.03377959013222502,,,,synthetic,MCAR,random,0.3,5,1000x50,2,1850933495,1911030005,53841429,1000,50,15000
mean_pca,0.6245388494408184,0.4876218915142653,0.0028008810004394036,,,,,synthetic,MCAR,random,0.3,5,1000x50,3,1101595663,575885763,526057474,1000,50,15000
mice_pca,0.48141788506550787,0.35671310418250396,1.035282714999994,,True,8.0,False,synthetic,MCAR,random,0.3,5,1000x50,3,1101595663,575885763,526057474,1000,50,15000
vbpca_vb_modern,0.5397434833461698,0.40546588164778197,29.91770627599908,0.039541256189653914,,,,synthetic,MCAR,random,0.3,5,1000x50,3,1101595663,575885763,526057474,1000,50,15000
mean_pca,0.7195643347375379,0.5678880525754658,0.0030900010006007506,,,,,synthetic,MCAR,random,0.5,5,1000x50,0,518022750,1770045348,1700981397,1000,50,25000
mice_pca,0.4924880088066487,0.37244679308947043,5.2410498919998645,,True,27.0,True,synthetic,MCAR,random,0.5,5,1000x50,0,518022750,1770045348,1700981397,1000,50,25000
vbpca_vb_modern,0.5637446726309414,0.4254159031976952,17.971658145999754,0.05655664768469938,,,,synthetic,MCAR,random,0.5,5,1000x50,0,518022750,1770045348,1700981397,1000,50,25000
mean_pca,0.7067496624732796,0.5579647128148411,0.0031087770003068727,,,,,synthetic,MCAR,random,0.5,5,1000x50,1,459052467,879613214,1592288369,1000,50,25000
mice_pca,0.4817373106948686,0.3619222492133957,0.6127701709992834,,True,5.0,False,synthetic,MCAR,random,0.5,5,1000x50,1,459052467,879613214,1592288369,1000,50,25000
vbpca_vb_modern,0.5514792630065968,0.4159186978037376,14.782335782998416,0.055205968580710515,,,,synthetic,MCAR,random,0.5,5,1000x50,1,459052467,879613214,1592288369,1000,50,25000
mean_pca,0.7088169948520091,0.5576380535350908,0.0031374720001622336,,,,,synthetic,MCAR,random,0.5,5,1000x50,2,318317950,1352786287,941907327,1000,50,25000
mice_pca,0.4674225318560625,0.35007590596777294,0.4961801450008352,,True,4.0,False,synthetic,MCAR,random,0.5,5,1000x50,2,318317950,1352786287,941907327,1000,50,25000
vbpca_vb_modern,0.5274058710077429,0.3968493746359315,14.744402323000031,0.05149737091926547,,,,synthetic,MCAR,random,0.5,5,1000x50,2,318317950,1352786287,941907327,1000,50,25000
mean_pca,0.7083498539825368,0.5607393172419527,0.003312164999442757,,,,,synthetic,MCAR,random,0.5,5,1000x50,3,1991591921,1587352716,498019042,1000,50,25000
mice_pca,0.47469632146784735,0.35955657469090097,0.9379824560000998,,True,8.0,False,synthetic,MCAR,random,0.5,5,1000x50,3,1991591921,1587352716,498019042,1000,50,25000
vbpca_vb_modern,0.5439942254006306,0.412992910621662,16.13502409099965,0.05349065964764206,,,,synthetic,MCAR,random,0.5,5,1000x50,3,1991591921,1587352716,498019042,1000,50,25000
mean_pca,0.7312681511410137,0.5708728313923183,0.0019690820008690935,,,,,synthetic,MCAR,block,0.1,5,1000x50,0,1793255565,1716108145,457504877,1000,50,5000
mice_pca,0.5416981442521727,0.40743706164101384,0.4472718619999796,,True,17.0,False,synthetic,MCAR,block,0.1,5,1000x50,0,1793255565,1716108145,457504877,1000,50,5000
vbpca_vb_modern,0.6431932519814294,0.48652495491447445,35.53234110900121,0.03155253146795287,,,,synthetic,MCAR,block,0.1,5,1000x50,0,1793255565,1716108145,457504877,1000,50,5000
mean_pca,0.7159643304827442,0.5586894574777982,0.0019755569992412347,,,,,synthetic,MCAR,block,0.1,5,1000x50,1,1112750942,1705426420,497261917,1000,50,5000
mice_pca,0.5530286636318555,0.4076994412609192,0.35000189400125237,,True,13.0,False,synthetic,MCAR,block,0.1,5,1000x50,1,1112750942,1705426420,497261917,1000,50,5000
vbpca_vb_modern,0.6408858583275507,0.4798620415283387,27.523545088999526,0.03145108311539722,,,,synthetic,MCAR,block,0.1,5,1000x50,1,1112750942,1705426420,497261917,1000,50,5000
mean_pca,0.6502531128407317,0.5088147892842239,0.002241657999547897,,,,,synthetic,MCAR,block,0.1,5,1000x50,2,525711219,356276112,16319298,1000,50,5000
mice_pca,0.4083190927060717,0.30280078154931056,0.35148181400109024,,True,13.0,False,synthetic,MCAR,block,0.1,5,1000x50,2,525711219,356276112,16319298,1000,50,5000
vbpca_vb_modern,0.5436566813335371,0.4014629408905653,35.28109148300064,0.02873390545388361,,,,synthetic,MCAR,block,0.1,5,1000x50,2,525711219,356276112,16319298,1000,50,5000
mean_pca,0.6728868456034872,0.527773872966721,0.002000042999497964,,,,,synthetic,MCAR,block,0.1,5,1000x50,3,1068993669,34687563,1251391636,1000,50,5000
mice_pca,0.49740650252788254,0.3725764157824665,0.3602154509990214,,True,13.0,False,synthetic,MCAR,block,0.1,5,1000x50,3,1068993669,34687563,1251391636,1000,50,5000
vbpca_vb_modern,0.5671481601601187,0.4283207653959218,32.5562160190002,0.029616444371652107,,,,synthetic,MCAR,block,0.1,5,1000x50,3,1068993669,34687563,1251391636,1000,50,5000
mean_pca,1.862503798189216,1.51631297461269,0.0018754819993773708,,,,,synthetic,MCAR,block,0.3,5,1000x50,0,892880451,395862813,777045672,1000,50,11988
mice_pca,1.8625037981892212,1.5163129746126958,0.012232556000526529,,True,1.0,False,synthetic,MCAR,block,0.3,5,1000x50,0,892880451,395862813,777045672,1000,50,11988
vbpca_vb_modern,0.9898202607447443,0.7874367597810052,21.46194821899917,69.43984314267561,,,,synthetic,MCAR,block,0.3,5,1000x50,0,892880451,395862813,777045672,1000,50,11988
mean_pca,1.547631466288101,1.2581397562529644,0.002001756000026944,,,,,synthetic,MCAR,block,0.3,5,1000x50,1,31986589,307974985,1011750904,1000,50,11988
mice_pca,1.5476314662881003,1.2581397562529646,0.012019295001664432,,True,1.0,False,synthetic,MCAR,block,0.3,5,1000x50,1,31986589,307974985,1011750904,1000,50,11988
vbpca_vb_modern,1.0401643991239893,0.8247429761789331,21.567283696998857,69.51566196627978,,,,synthetic,MCAR,block,0.3,5,1000x50,1,31986589,307974985,1011750904,1000,50,11988
mean_pca,1.197713654779389,0.9517871530348827,0.0019419840009504696,,,,,synthetic,MCAR,block,0.3,5,1000x50,2,166009390,1563890638,551657761,1000,50,11988
mice_pca,1.1977136547793916,0.9517871530348845,0.01215884899829689,,True,1.0,False,synthetic,MCAR,block,0.3,5,1000x50,2,166009390,1563890638,551657761,1000,50,11988
vbpca_vb_modern,0.9926405474733142,0.7842231901860157,21.280022879998796,68.83588162066218,,,,synthetic,MCAR,block,0.3,5,1000x50,2,166009390,1563890638,551657761,1000,50,11988
mean_pca,1.6038512161071152,1.2698170634176205,0.0019044619984924793,,,,,synthetic,MCAR,block,0.3,5,1000x50,3,1972679534,364416294,1343324047,1000,50,11988
mice_pca,1.6038512161070986,1.2698170634176082,0.011970351999480044,,True,1.0,False,synthetic,MCAR,block,0.3,5,1000x50,3,1972679534,364416294,1343324047,1000,50,11988
vbpca_vb_modern,0.9249366974681044,0.7284687064594357,21.170473403999495,68.17627568573366,,,,synthetic,MCAR,block,0.3,5,1000x50,3,1972679534,364416294,1343324047,1000,50,11988
