case,kind,n_features,n_samples,n_components,missing_rate,rotate2pca,repetitions,time_mean_sec,time_median_sec,time_std_sec,time_min_sec,time_max_sec
dense_medium,dense,120,400,12,0.3,1,3,0.5274824353352111,0.528133717001765,0.0027219478058115617,0.524493924996932,0.5298196640069364
dense_small,dense,60,200,8,0.2,1,3,0.14983321766582472,0.147310357002425,0.0055306801096099475,0.1460138209949946,0.15617547500005458
sparse_medium,sparse,160,500,16,0.92,1,3,0.489972997000829,0.4980170180060668,0.014319154119683179,0.47344065200013574,0.4984613209962845
sparse_small,sparse,80,250,10,0.85,1,3,0.20165750433322197,0.20051160700677428,0.004532817039152153,0.19780760099820327,0.20665330499468837
