case,kind,n_features,n_samples,n_components,missing_rate,repetitions,time_mean_sec,time_median_sec,time_std_sec,time_min_sec,time_max_sec
dense_medium,dense,120,400,12,0.3,3,6.327198942002724,6.32106455801113,0.0252933149816131,6.305537025997182,6.354995241999859
dense_small,dense,60,200,8,0.2,3,1.7733780070072196,1.7718055600125808,0.0052528230910450086,1.769090996007435,1.7792374650016427
sparse_medium,sparse,160,500,16,0.92,3,1.4020266763303273,1.4066210470045917,0.015473683288375525,1.3847761069919216,1.4146828749944689
sparse_small,sparse,80,250,10,0.85,3,0.6179695496684872,0.6164537230069982,0.025609203197858862,0.5931519279984059,0.6443029980000574
