case,kind,n_features,n_samples,n_components,missing_rate,repetitions,time_mean_sec,time_median_sec,time_std_sec,time_min_sec,time_max_sec
dense_medium,dense,120,400,12,0.3,3,7.592533882993545,7.57709426699148,0.0404208376353755,7.562108471000101,7.6383989109890535
dense_small,dense,60,200,8,0.2,3,2.150140210001458,2.1455995360011,0.014222683680268253,2.138742283001193,2.1660788110020803
sparse_medium,sparse,160,500,16,0.92,3,2.0659113413324426,2.0710112289962126,0.010098843942186657,2.0542795470100828,2.072443247991032
sparse_small,sparse,80,250,10,0.85,3,0.9021376809978392,0.9006262640032219,0.02848603178048517,0.8744374459929531,0.9313493329973426
