case,kind,n_features,n_samples,n_components,missing_rate,repetitions,time_mean_sec,time_median_sec,time_std_sec,time_min_sec,time_max_sec
dense_medium,dense,120,400,12,0.3,3,7.809728978662558,7.798679326995625,0.02844716327427551,7.788464440993266,7.842043167998781
dense_small,dense,60,200,8,0.2,3,2.2396153256704565,2.2352027610031655,0.021190236131036915,2.220978790006484,2.26266442600172
sparse_medium,sparse,160,500,16,0.92,3,2.1207607086592666,2.116995649994351,0.010728358118867652,2.112422380989301,2.1328640949941473
sparse_small,sparse,80,250,10,0.85,3,0.9319045026641106,0.935229103997699,0.025226308856303156,0.9051807389914757,0.9553036650031572
