case,kind,n_features,n_samples,n_components,missing_rate,repetitions,time_mean_sec,time_median_sec,time_std_sec,time_min_sec,time_max_sec
dense_medium,dense,120,400,12,0.3,3,7.744793587330302,7.741658872997505,0.007215886520992233,7.739675199001795,7.753046689991606
dense_small,dense,60,200,8,0.2,3,2.200806389004962,2.2083794200007105,0.016365835048327018,2.182025626010727,2.212014121003449
sparse_medium,sparse,160,500,16,0.92,3,2.2272118386705793,2.2536465720040724,0.05432657718242309,2.164727032009978,2.263261911997688
sparse_small,sparse,80,250,10,0.85,3,0.9395112756659122,0.9399557099968661,0.026285550567173153,0.9130063260090537,0.9655717909918167
