case,kind,n_features,n_samples,n_components,missing_rate,repetitions,time_mean_sec,time_median_sec,time_std_sec,time_min_sec,time_max_sec
dense_medium,dense,120,400,12,0.3,3,7.691773754665822,7.682551856007194,0.028056462942138385,7.669488931991509,7.723280475998763
dense_small,dense,60,200,8,0.2,3,2.1998463480025143,2.198172384989448,0.019211450502667336,2.1815266540070297,2.219840005011065
sparse_medium,sparse,160,500,16,0.92,3,2.0852092946637035,2.085736700988491,0.006452568300399394,2.078509209008189,2.09138197399443
sparse_small,sparse,80,250,10,0.85,3,0.914038690670471,0.9157726560079027,0.031880676525043644,0.8813264170021284,0.9450169990013819
