case,kind,n_features,n_samples,n_components,missing_rate,repetitions,time_mean_sec,time_median_sec,time_std_sec,time_min_sec,time_max_sec
dense_medium,dense,120,400,12,0.3,3,6.34795263299505,6.346283680992201,0.04670028993451885,6.30210919099045,6.395465027002501
dense_small,dense,60,200,8,0.2,3,1.7636388900039794,1.761059580006986,0.004831133698563649,1.7606448290025583,1.7692122610023944
sparse_medium,sparse,160,500,16,0.92,3,1.3873453216656344,1.3850397939968389,0.012085730259124933,1.3765784260031069,1.4004177449969575
sparse_small,sparse,80,250,10,0.85,3,0.6168935060025736,0.6158606760000112,0.025446082416028297,0.5919795640074881,0.6428402780002216
