case,kind,n_features,n_samples,n_components,missing_rate,rotate2pca,repetitions,time_mean_sec,time_median_sec,time_std_sec,time_min_sec,time_max_sec
dense_medium,dense,120,400,12,0.3,1,1,0.05741140399186406,0.05741140399186406,0.0,0.05741140399186406,0.05741140399186406
dense_small,dense,60,200,8,0.2,1,1,0.030747076001716778,0.030747076001716778,0.0,0.030747076001716778,0.030747076001716778
sparse_medium,sparse,160,500,16,0.92,1,1,0.06385801099531818,0.06385801099531818,0.0,0.06385801099531818,0.06385801099531818
sparse_small,sparse,80,250,10,0.85,1,1,0.022660306000034325,0.022660306000034325,0.0,0.022660306000034325,0.022660306000034325
