case,kind,n_features,n_samples,n_components,missing_rate,rotate2pca,repetitions,time_mean_sec,time_median_sec,time_std_sec,time_min_sec,time_max_sec
dense_medium,dense,120,400,12,0.3,1,3,0.38831690466516494,0.39150002000678796,0.008392632155624106,0.37879836099455133,0.3946523329941556
dense_small,dense,60,200,8,0.2,1,3,0.10169027900459089,0.09748756000772119,0.00751435546865587,0.0972175680071814,0.1103657089988701
sparse_medium,sparse,160,500,16,0.92,1,3,0.3035326639995522,0.3055007490038406,0.004642374535715254,0.29823044799559284,0.3068667949992232
sparse_small,sparse,80,250,10,0.85,1,3,0.1265431936675062,0.12799550400814041,0.00261918629457771,0.12351959799707402,0.1281144789973041
