case,kind,n_features,n_samples,n_components,missing_rate,rotate2pca,repetitions,time_mean_sec,time_median_sec,time_std_sec,time_min_sec,time_max_sec
dense_medium,dense,120,400,12,0.3,1,3,0.49964831399847753,0.49933832899841946,0.009629059431051041,0.49017799001012463,0.5094286229868885
dense_small,dense,60,200,8,0.2,1,3,0.13879111400456168,0.13645378001092467,0.005974291317568925,0.13433885500126053,0.14558070700149983
sparse_medium,sparse,160,500,16,0.92,1,3,0.47708787966985255,0.4783453780109994,0.003560804335331959,0.47306894599751104,0.4798493150010472
sparse_small,sparse,80,250,10,0.85,1,3,0.18229464599668668,0.17936732700036373,0.006220196790259005,0.1780781689885771,0.18943844200111926
