case,kind,n_features,n_samples,n_components,missing_rate,repetitions,time_mean_sec,time_median_sec,time_std_sec,time_min_sec,time_max_sec
dense_medium,dense,120,400,12,0.3,1,0.9599946990056196,0.9599946990056196,0.0,0.9599946990056196,0.9599946990056196
dense_small,dense,60,200,8,0.2,1,0.2848939219984459,0.2848939219984459,0.0,0.2848939219984459,0.2848939219984459
sparse_medium,sparse,160,500,16,0.92,1,0.4478847209975356,0.4478847209975356,0.0,0.4478847209975356,0.4478847209975356
sparse_small,sparse,80,250,10,0.85,1,0.21459420899918769,0.21459420899918769,0.0,0.21459420899918769,0.21459420899918769
