case,kind,n_features,n_samples,n_components,missing_rate,repetitions,time_mean_sec,time_median_sec,time_std_sec,time_min_sec,time_max_sec
dense_medium,dense,120,400,12,0.3,1,0.9603700120060239,0.9603700120060239,0.0,0.9603700120060239,0.9603700120060239
dense_small,dense,60,200,8,0.2,1,0.281486303996644,0.281486303996644,0.0,0.281486303996644,0.281486303996644
sparse_medium,sparse,160,500,16,0.92,1,0.2750030839961255,0.2750030839961255,0.0,0.2750030839961255,0.2750030839961255
sparse_small,sparse,80,250,10,0.85,1,0.11770132200035732,0.11770132200035732,0.0,0.11770132200035732,0.11770132200035732
