case,kind,n_features,n_samples,n_components,missing_rate,repetitions,time_mean_sec,time_median_sec,time_std_sec,time_min_sec,time_max_sec
dense_medium,dense,120,400,12,0.3,3,6.496851687993815,6.486515733995475,0.02012252405344318,6.483997677991283,6.520041651994688
dense_small,dense,60,200,8,0.2,3,1.8118610153275465,1.8143279899959452,0.007887395008120175,1.80303499699221,1.8182200589944841
sparse_medium,sparse,160,500,16,0.92,3,1.4060870873363456,1.4155827579961624,0.020470635617797047,1.382593023008667,1.4200854810042074
sparse_small,sparse,80,250,10,0.85,3,0.6090545610010546,0.6058312590030255,0.028224872046058336,0.5825797180004884,0.6387527059996501
