case,kind,n_features,n_samples,n_components,missing_rate,repetitions,time_mean_sec,time_median_sec,time_std_sec,time_min_sec,time_max_sec
dense_medium,dense,120,400,12,0.3,3,0.3546648516639834,0.3544181280012708,0.004081443260397422,0.3507123669987777,0.35886405999190174
dense_small,dense,60,200,8,0.2,3,0.09114690900120574,0.08546287599892821,0.009856105556181034,0.08545009400404524,0.10252775700064376
sparse_medium,sparse,160,500,16,0.92,3,0.2334296843376554,0.2329504990048008,0.004600207294017652,0.2290878260100726,0.23825072799809277
sparse_small,sparse,80,250,10,0.85,3,0.09951973366939153,0.09645465300127398,0.008771131452911219,0.09269244701135904,0.10941210099554155
