case,kind,n_features,n_samples,n_components,missing_rate,rotate2pca,repetitions,time_mean_sec,time_median_sec,time_std_sec,time_min_sec,time_max_sec
sparse_genetics_2k,sparse,2000,1000,24,0.97,1,1,2.5348110670020105,2.5348110670020105,0.0,2.5348110670020105,2.5348110670020105
sparse_genetics_5k,sparse,5000,1000,32,0.985,1,1,8.65521331698983,8.65521331698983,0.0,8.65521331698983,8.65521331698983
