case,kind,n_features,n_samples,n_components,missing_rate,repetitions,time_mean_sec,time_median_sec,time_std_sec,time_min_sec,time_max_sec
dense_medium,dense,120,400,12,0.3,3,7.629190797330618,7.6293742550042225,0.02170386803335267,7.607395781989908,7.650802354997722
dense_small,dense,60,200,8,0.2,3,2.1792292589962017,2.179385313997045,0.010726668908100317,2.168425413998193,2.1898770489933668
sparse_medium,sparse,160,500,16,0.92,3,1.8492160019959556,1.851203230995452,0.005553563999183048,1.8429422110057203,1.8535025639866944
sparse_small,sparse,80,250,10,0.85,3,0.8438636120020723,0.8438824000040768,0.030091238394320163,0.8137629840057343,0.8739454519964056
