case,kind,n_features,n_samples,n_components,missing_rate,rotate2pca,repetitions,time_mean_sec,time_median_sec,time_std_sec,time_min_sec,time_max_sec
dense_medium,dense,120,400,12,0.3,1,3,0.40110927466109086,0.39648523899086285,0.00901643896269068,0.3953429329994833,0.4114996519929264
dense_small,dense,60,200,8,0.2,1,3,0.11101335966668557,0.10710222600027919,0.008586662114474812,0.1050785499974154,0.12085930300236214
sparse_medium,sparse,160,500,16,0.92,1,3,0.31543556665807654,0.3188602469890611,0.011347569280818471,0.30277009899145924,0.3246763539937092
sparse_small,sparse,80,250,10,0.85,1,3,0.1451765300007537,0.14323582699580584,0.007919308736098864,0.13840797300508711,0.15388579000136815
