case,kind,n_features,n_samples,n_components,missing_rate,repetitions,time_mean_sec,time_median_sec,time_std_sec,time_min_sec,time_max_sec
dense_medium,dense,120,400,12,0.3,3,7.673383942999256,7.672628045998863,0.028488155784320242,7.645281257995521,7.702242525003385
dense_small,dense,60,200,8,0.2,3,2.1865076713390104,2.181664636998903,0.011085062388403876,2.17866822500946,2.1991901520086685
sparse_medium,sparse,160,500,16,0.92,3,1.3868354636700435,1.3838751110015437,0.010082306993764343,1.3785647350014187,1.3980665450071683
sparse_small,sparse,80,250,10,0.85,3,0.6070779273334969,0.6056080900016241,0.02768088927280187,0.5801612399955047,0.6354644520033617
