case,kind,n_features,n_samples,n_components,missing_rate,repetitions,time_mean_sec,time_median_sec,time_std_sec,time_min_sec,time_max_sec
dense_medium,dense,120,400,12,0.3,3,7.758513818330054,7.754027949995361,0.020080894624596706,7.741055227990728,7.780458277004072
dense_small,dense,60,200,8,0.2,3,2.2027760236669565,2.193326534994412,0.01929624335905206,2.190025774994865,2.224975761011592
sparse_medium,sparse,160,500,16,0.92,3,1.3851338620055078,1.3848338090028847,0.00822375393847692,1.3770642410090659,1.393503536004573
sparse_small,sparse,80,250,10,0.85,3,0.6163432093308074,0.6128401979949558,0.025154675578315057,0.5931236439937493,0.6430657860037172
