case,kind,n_features,n_samples,n_components,missing_rate,repetitions,time_mean_sec,time_median_sec,time_std_sec,time_min_sec,time_max_sec
dense_medium,dense,120,400,12,0.3,3,7.689403539334307,7.704257211997174,0.03780109872523548,7.646431670000311,7.717521736005438
dense_small,dense,60,200,8,0.2,3,2.17677944599806,2.1748431329906452,0.01790720872728,2.1599190819979412,2.195576123005594
sparse_medium,sparse,160,500,16,0.92,3,1.3716337196722936,1.3641322660114383,0.014712790469937296,1.3621836000093026,1.3885852929961402
sparse_small,sparse,80,250,10,0.85,3,0.6081164913290801,0.6059609739895677,0.026965636158893632,0.5822933049930725,0.6360951950046001
