dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,comparator,reference,metric,n_reps,delta_mean,delta_median,delta_std,delta_ci_low,delta_ci_high,comparator_win_rate,vbpca_win_rate,delta_ci
diabetes,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.0825850218357155,0.0838448104186506,0.0150257352165354,0.0485861594539078,0.1096587382519351,0.0,1.0,"[0.0486, 0.1097]"
diabetes,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,0.0073403942816137,-7.595401189725015e-05,0.0360108757709817,-0.0379826153209608,0.0977715023551857,0.5,0.5,"[-0.0380, 0.0978]"
diabetes,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-21.135926403684863,-23.82538048600327,3.7303257515048336,-25.40171844454926,-16.041083595228702,1.0,0.0,"[-25.4017, -16.0411]"
diabetes,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-20.671722205219996,-23.306604937002703,3.702388871010091,-24.94713632354597,-15.596004089751478,1.0,0.0,"[-24.9471, -15.5960]"
diabetes,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.0854604619997004,0.0848215876819099,0.0108166445864866,0.06418924839688,0.1052850427414026,0.0,1.0,"[0.0642, 0.1053]"
diabetes,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,0.0300859226059576,0.030098682082802,0.0146011539993126,0.0055211973645694,0.0676594963197712,0.01,0.99,"[0.0055, 0.0677]"
diabetes,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.0839303585361224,0.0837582526879136,0.0134033163269609,0.0551191137072283,0.10804615984322,0.0,1.0,"[0.0551, 0.1080]"
diabetes,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,0.0613250419799691,0.0590095478839119,0.0231993505914374,0.0238177393714918,0.1071507952345205,0.0,1.0,"[0.0238, 0.1072]"
diabetes,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-16.66941833418972,-18.85765705550148,2.834825353647374,-19.813618939971278,-12.605696313850968,1.0,0.0,"[-19.8136, -12.6057]"
diabetes,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-16.23497984510992,-18.3448170915035,2.813800796649912,-19.333249105043613,-12.201289913096298,1.0,0.0,"[-19.3332, -12.2013]"
diabetes,MCAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.0580824148418091,0.0646198989777776,0.0647944324694216,-0.0530812973766707,0.1618271860469398,0.225,0.775,"[-0.0531, 0.1618]"
diabetes,MCAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-0.0974442799198905,-0.0960025577566723,0.0497346974397783,-0.1901686213320594,0.0013506075799156,0.97,0.03,"[-0.1902, 0.0014]"
diabetes,MCAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.0357545432984489,0.0460362418754997,0.0792719086467249,-0.1133387791521721,0.1729457393935373,0.35,0.65,"[-0.1133, 0.1729]"
diabetes,MCAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,-0.1069743403207705,-0.100697166032001,0.0615015355448878,-0.2509980268151633,-0.0022459540817459,0.98,0.02,"[-0.2510, -0.0022]"
diabetes,MCAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-26.12591566689014,-29.06485954949676,4.905661023688979,-31.210738395296904,-16.142305139400925,1.0,0.0,"[-31.2107, -16.1423]"
diabetes,MCAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-26.115399119564827,-29.057816618998917,4.905588978362888,-31.20366165811865,-16.136503560465645,1.0,0.0,"[-31.2037, -16.1365]"
diabetes,MCAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,3.499057686099844e-05,0.0,0.0004948415049227,-1.0408340855860844e-16,2.012279232133096e-16,0.08,0.23,"[-0.0000, 0.0000]"
diabetes,MCAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,3.499057686099844e-05,0.0,0.0004948415049227,-1.0408340855860844e-16,2.012279232133096e-16,0.08,0.23,"[-0.0000, 0.0000]"
diabetes,MCAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,4.809272702564843e-05,0.0,0.0006801327687037,-9.731798700229888e-17,1.682681771697633e-16,0.065,0.115,"[-0.0000, 0.0000]"
diabetes,MCAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,4.809272702564843e-05,0.0,0.0006801327687037,-9.731798700229888e-17,1.682681771697633e-16,0.065,0.115,"[-0.0000, 0.0000]"
diabetes,MCAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-23.06060924587484,-26.200325021996832,3.894473311350976,-27.652130623150335,-17.691391391551953,1.0,0.0,"[-27.6521, -17.6914]"
diabetes,MCAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-23.0582906170702,-26.197957787502677,3.894387327915104,-27.649683314103097,-17.68924280400224,1.0,0.0,"[-27.6497, -17.6892]"
diabetes,MCAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,6.809080357231267e-08,0.0,9.640672706743857e-07,-1.0408340855860844e-16,1.9428902930940242e-16,0.07,0.19,"[-0.0000, 0.0000]"
diabetes,MCAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,6.809080357231267e-08,0.0,9.640672706743857e-07,-1.0408340855860844e-16,1.9428902930940242e-16,0.07,0.19,"[-0.0000, 0.0000]"
diabetes,MCAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,4.4379606058062015e-08,0.0,6.275055188283575e-07,-1.0408340855860844e-16,1.0408340855860844e-16,0.1,0.125,"[-0.0000, 0.0000]"
diabetes,MCAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,4.4379606058062015e-08,0.0,6.275055188283575e-07,-1.0408340855860844e-16,1.0408340855860844e-16,0.1,0.125,"[-0.0000, 0.0000]"
diabetes,MCAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-23.29565778430468,-26.282260207499345,3.920823055662573,-27.68138364319384,-17.705345534331173,1.0,0.0,"[-27.6814, -17.7053]"
diabetes,MCAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-23.293326796865223,-26.279909320503062,3.920754625551569,-27.678980821101685,-17.703225831210148,1.0,0.0,"[-27.6790, -17.7032]"
diabetes,MCAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.0817850890925673,0.0808232077105924,0.0172154550812491,0.0461569646931037,0.1173968509626736,0.0,1.0,"[0.0462, 0.1174]"
diabetes,MCAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-0.0601757342803904,-0.0600902314079695,0.0113816670485716,-0.0811001958855583,-0.0406175866194533,1.0,0.0,"[-0.0811, -0.0406]"
diabetes,MCAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.0704652112583612,0.0693938388601992,0.0213122433013057,0.0301284985402409,0.114842483705946,0.0,1.0,"[0.0301, 0.1148]"
diabetes,MCAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,-0.0476195216861663,-0.0465421787504566,0.0133952313427827,-0.0765328328417548,-0.0235757466577707,1.0,0.0,"[-0.0765, -0.0236]"
diabetes,MCAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-25.628723954465023,-28.74380464000205,4.68278991109402,-31.11729279697301,-16.15008083734847,1.0,0.0,"[-31.1173, -16.1501]"
diabetes,MCAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-25.307879492410283,-28.43649559100231,4.661630409011171,-30.758530409950072,-15.934172500902786,1.0,0.0,"[-30.7585, -15.9342]"
diabetes,MCAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.0888861420643832,0.0882357157192957,0.0106904478909028,0.0694884220035887,0.1101911634993959,0.0,1.0,"[0.0695, 0.1102]"
diabetes,MCAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-0.0043436577264622,-0.0051246818686786,0.0230648281180013,-0.0469712175065206,0.0367483894976038,0.55,0.45,"[-0.0470, 0.0367]"
diabetes,MCAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.0789661285479478,0.0785185132635886,0.0125323634607118,0.055441489926885,0.1038307832543176,0.0,1.0,"[0.0554, 0.1038]"
diabetes,MCAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,0.043222522854592,0.0416506063717499,0.043513203665308,-0.0361882171699762,0.1217626860336881,0.17,0.83,"[-0.0362, 0.1218]"
diabetes,MCAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-21.052091442889942,-23.70885450899732,3.552572402662622,-25.10865842238072,-15.968459007528326,1.0,0.0,"[-25.1087, -15.9685]"
diabetes,MCAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-20.5982930301052,-23.26727561300504,3.5269089164681966,-24.57282345928015,-15.559250712975336,1.0,0.0,"[-24.5728, -15.5593]"
diabetes,MCAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.0882305100155944,0.0886578525904411,0.0097250990802384,0.0674847114879476,0.1043473977904881,0.0,1.0,"[0.0675, 0.1043]"
diabetes,MCAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,0.0237266749874664,0.0225680383484044,0.0126032416041827,-0.0020757626766066,0.0486007826799391,0.035,0.965,"[-0.0021, 0.0486]"
