dataset,mechanism,pattern,missing_rate,n_components_requested,method,n_reps,rmse_mean,rmse_median,rmse_std,rmse_ci_low,rmse_ci_high,mae_mean,mae_median,mae_std,mae_ci_low,mae_ci_high,wall_time_sec_mean,wall_time_sec_median,wall_time_sec_std,wall_time_sec_ci_low,wall_time_sec_ci_high,vbpca_mean_variance_mean,rmse_ci,mae_ci,time_ci
diabetes,MAR,block,0.1,5,mean_pca,200,0.8726203620787979,0.8733544791846539,0.0856825986695852,0.7135977303101043,1.034829219534921,0.6939164886455214,0.690612913499981,0.0828010537774246,0.536479834218109,0.859671475186015,0.00150306337473,0.0015061015037644,4.82567767709321e-05,0.0013995330249599,0.0015850036530536,,"[0.7136, 1.0348]","[0.5365, 0.8597]","[0.0014, 0.0016]"
diabetes,MAR,block,0.1,5,mice_pca,200,0.6981855337653077,0.6941868687332005,0.1599881146618673,0.3505763887042206,1.0075112302827751,0.5105692792375005,0.4913761687104364,0.1486013462252831,0.2384906651795709,0.8266539186576043,0.0128642787400166,0.008721387002879,0.0135136374766855,0.0057371097964277,0.0649680795995664,,"[0.3506, 1.0075]","[0.2385, 0.8267]","[0.0057, 0.0650]"
diabetes,MAR,block,0.1,5,vbpca_vb_modern,200,0.8156132007177302,0.7998368231810775,0.1392669544853939,0.537643723132001,1.0723646148578327,0.6219861069863372,0.6025883871418956,0.1245768920770548,0.4017086038530659,0.8677086950746404,25.43284457531492,28.84512366800118,4.271504844209014,19.35477480249883,30.279266879399803,0.1363786973871522,"[0.5376, 1.0724]","[0.4017, 0.8677]","[19.3548, 30.2793]"
diabetes,MAR,block,0.3,5,mean_pca,200,0.0643939798351879,0.0620600634218538,0.0115493008356038,0.0481132369865539,0.0916940149006997,0.0516344685073296,0.049248827562641,0.0106732696844795,0.0380938358534553,0.0768022873665992,0.0014877292395976,0.0014952585006539,5.0154015771878704e-05,0.0013766034209765,0.0015690583995819,,"[0.0481, 0.0917]","[0.0381, 0.0768]","[0.0014, 0.0016]"
diabetes,MAR,block,0.3,5,mice_pca,200,0.0643939798351879,0.0620600634218538,0.0115493008356038,0.0481132369865539,0.0916940149006997,0.0516344685073296,0.049248827562641,0.0106732696844795,0.0380938358534553,0.0768022873665992,0.0038134590353001,0.0038474134998977,0.0001710530927865,0.0034598442462083,0.0040492762762368,,"[0.0481, 0.0917]","[0.0381, 0.0768]","[0.0035, 0.0040]"
diabetes,MAR,block,0.3,5,vbpca_vb_modern,200,0.0651901961330825,0.0621111289300663,0.0159383349817816,0.0481132369865538,0.0958727229667208,0.0521509832633318,0.0494071475556792,0.012687482240333,0.0380938358534553,0.0822975068334637,23.221268067164928,26.28549855000165,3.878709659014921,17.663991718701617,27.591940440125107,33.54490140860525,"[0.0481, 0.0959]","[0.0381, 0.0823]","[17.6640, 27.5919]"
diabetes,MAR,block,0.5,5,mean_pca,200,0.0646984652553174,0.0626063237178801,0.0132271250382587,0.0482039426685698,0.104913203577642,0.051904649864088,0.0495772776620573,0.0118461097420977,0.0383252177749096,0.0867501301291491,0.0014933039299648,0.0014962870009184,4.605784182424133e-05,0.0013777096308331,0.0015793818743986,,"[0.0482, 0.1049]","[0.0383, 0.0868]","[0.0014, 0.0016]"
diabetes,MAR,block,0.5,5,mice_pca,200,0.0646984652553174,0.0626063237178801,0.0132271250382587,0.0482039426685698,0.104913203577642,0.051904649864088,0.0495772776620573,0.0118461097420977,0.0383252177749096,0.0867501301291491,0.003844437505213,0.0038555610044568,0.0001856276036065,0.003446679051376,0.0041397874500034,,"[0.0482, 0.1049]","[0.0383, 0.0868]","[0.0034, 0.0041]"
diabetes,MAR,block,0.5,5,vbpca_vb_modern,200,0.0647750495123397,0.06260632371788,0.0132676438246286,0.0482039426685698,0.1049132035776419,0.0519781889809776,0.0495772776620573,0.0118948851284345,0.0383252177749096,0.0867501301291491,23.34452240743496,26.29444717599836,3.885087735244367,17.612702763224114,27.623830880949207,33.03011564834059,"[0.0482, 0.1049]","[0.0383, 0.0868]","[17.6127, 27.6238]"
diabetes,MAR,random,0.1,5,mean_pca,200,0.8481711562143162,0.8480051672199258,0.035162736149228,0.7874641360405626,0.917283887194194,0.6664796981971939,0.6662827984912691,0.027689680708813,0.6161578291962055,0.7167483314244406,0.0015060193750104,0.0015144790013436,4.647606792690823e-05,0.0013995530507599,0.0015868698033954,,"[0.7875, 0.9173]","[0.6162, 0.7167]","[0.0014, 0.0016]"
diabetes,MAR,random,0.1,5,mice_pca,200,0.7317652252877451,0.7329472895574957,0.0331994185551941,0.6711079699165083,0.7918007655019706,0.5264166832883155,0.525928568382617,0.0244202171487834,0.4822545251756405,0.5744110573416954,0.3538763639648096,0.3440884675001143,0.0762901102175156,0.2268754142260149,0.5086260741793013,,"[0.6711, 0.7918]","[0.4823, 0.5744]","[0.2269, 0.5086]"
diabetes,MAR,random,0.1,5,vbpca_vb_modern,200,0.777202950045588,0.7782050774653045,0.0320825943317475,0.7194091960893052,0.8342644360266372,0.5860878486027672,0.586525475437708,0.0250487385306796,0.538431931323719,0.6315401035062304,25.39905950350996,28.656431847997737,4.272572953733792,19.50782037217577,30.21146778054845,0.1433827398005422,"[0.7194, 0.8343]","[0.5384, 0.6315]","[19.5078, 30.2115]"
diabetes,MAR,random,0.3,5,mean_pca,200,0.90756229800755,0.9091543109932608,0.0261093346250667,0.8599800119175446,0.9531182290739774,0.7200966233251234,0.7206409859716472,0.01956542842734,0.6819836777679978,0.7560504204880163,0.0015498785550516,0.0015559280000161,7.04929125650908e-05,0.001413342649539,0.0016472583725771,,"[0.8600, 0.9531]","[0.6820, 0.7561]","[0.0014, 0.0016]"
diabetes,MAR,random,0.3,5,mice_pca,200,0.8323176704534481,0.8257451499638166,0.0427851739322134,0.7713546929765,0.9483785461709252,0.6100734405928221,0.6078216046573663,0.0236219255754211,0.5755731083902549,0.6680556634773501,0.4657540770199193,0.4756351540017931,0.0791859202200241,0.2918955229002676,0.5699184006032738,,"[0.7714, 0.9484]","[0.5756, 0.6681]","[0.2919, 0.5699]"
diabetes,MAR,random,0.3,5,vbpca_vb_modern,200,0.8249772761718345,0.8252212197669013,0.0214794626189267,0.7816774593351065,0.8651241662425643,0.6322562977850467,0.6320958718014448,0.0165007728027257,0.5985864523651411,0.6626796712247762,21.137476282239916,23.826983717000985,3.7303614440559785,16.04258519477753,25.40331021749844,0.2000131040328832,"[0.7817, 0.8651]","[0.5986, 0.6627]","[16.0426, 25.4033]"
diabetes,MAR,random,0.5,5,mean_pca,200,0.974383333980396,0.9741624239791978,0.0299919169811583,0.9188755480062322,1.034932104985182,0.7764392847758513,0.7763558474533848,0.021433520639165,0.7401407830199411,0.8201043574436617,0.0015613958251923,0.0015693535024183,5.657199101059373e-05,0.0014460102449447,0.0016459935206512,,"[0.9189, 1.0349]","[0.7401, 0.8201]","[0.0014, 0.0016]"
diabetes,MAR,random,0.5,5,mice_pca,200,0.9517780174242424,0.9511902217459396,0.0335070777584763,0.8884729990123084,1.0172527383914929,0.7210647453821086,0.721380461313027,0.0234212470543727,0.676813417587791,0.7640321196311057,0.4359998849049952,0.4643536574985774,0.106227945784357,0.1281491144251049,0.5414682665752479,,"[0.8885, 1.0173]","[0.6768, 0.7640]","[0.1281, 0.5415]"
diabetes,MAR,random,0.5,5,vbpca_vb_modern,200,0.8904529754442734,0.8914125554604224,0.0263909389140682,0.8397579571852939,0.940924117944057,0.6909788227761509,0.6907075595918042,0.0192564480108244,0.6543137163071572,0.72999334351028,16.670979730014913,18.859224627500225,2.834848039683956,12.607220128281003,19.815227362149745,0.2947863061749202,"[0.8398, 0.9409]","[0.6543, 0.7300]","[12.6072, 19.8152]"
