dataset,mechanism,pattern,missing_rate,n_components,synthetic_shape,comparator,reference,metric,n_reps,delta_mean,delta_median,delta_std,delta_ci_low,delta_ci_high,comparator_win_rate,vbpca_win_rate
synthetic,MCAR,random,0.3,5,300x25,mean_pca,vbpca_vb_modern,mae,6,0.11081253942500335,0.10978533949821634,0.017807200002900873,0.08753322357036358,0.13625276332739517,0.0,1.0
synthetic,MCAR,random,0.3,5,300x25,mice_pca,vbpca_vb_modern,mae,6,-0.08839011592874213,-0.09067460080421946,0.004309542735879005,-0.0912065758932836,-0.08112766636610333,1.0,0.0
synthetic,MCAR,random,0.3,5,300x25,mean_pca,vbpca_vb_modern,rmse,6,0.12217189230459252,0.12166776161877668,0.021878925389411562,0.09172859257139784,0.15286171338186277,0.0,1.0
synthetic,MCAR,random,0.3,5,300x25,mice_pca,vbpca_vb_modern,rmse,6,-0.11385707589584822,-0.11648997345284204,0.007373146793731206,-0.11961205315979073,-0.10196503842937155,1.0,0.0
synthetic,MCAR,random,0.3,5,300x25,mean_pca,vbpca_vb_modern,wall_time_sec,6,-0.6592005574993892,-0.6591278009991585,0.012313232531162161,-0.6764031892489584,-0.6422148746241875,1.0,0.0
synthetic,MCAR,random,0.3,5,300x25,mice_pca,vbpca_vb_modern,wall_time_sec,6,-0.5265405119989737,-0.5264777924994632,0.011298278923112635,-0.5414127550000104,-0.5143150403737309,1.0,0.0
