dataset,mechanism,pattern,missing_rate,n_components,synthetic_shape,method,n_reps,rmse_mean,rmse_median,rmse_std,rmse_ci_low,rmse_ci_high,mae_mean,mae_median,mae_std,mae_ci_low,mae_ci_high,wall_time_sec_mean,wall_time_sec_median,wall_time_sec_std,wall_time_sec_ci_low,wall_time_sec_ci_high,vbpca_mean_variance_mean,vbpca_mean_variance_median,vbpca_mean_variance_std,vbpca_mean_variance_ci_low,vbpca_mean_variance_ci_high
synthetic,MCAR,random,0.3,5,300x25,mean_pca,6,0.6591725650897987,0.6598931655394548,0.010979643978109077,0.6473131266638357,0.674835955607992,0.5175509988966375,0.5146850817433374,0.01082839475562299,0.5088091830268964,0.5355703792660382,0.0009032803333562668,0.00088123649948095,0.00011981486030685165,0.0007904778756255125,0.001090454500626875,,,,,
synthetic,MCAR,random,0.3,5,300x25,mice_pca,6,0.42314359688935804,0.42240523618005765,0.022595583707022134,0.3924863748526013,0.4524927404040611,0.31834834354289204,0.3185437672337361,0.019619511603880323,0.2925655604724794,0.34095983133086355,0.13356332583377173,0.12937093350046774,0.011054750628283795,0.12288323312532148,0.1489146641251864,,,,,
synthetic,MCAR,random,0.3,5,300x25,vbpca_vb_modern,6,0.5370006727852062,0.5414723731974617,0.02879567414388633,0.49445141328197284,0.5714605026727113,0.4067384594716341,0.40960663484693827,0.023291299343884592,0.37369322683858275,0.4317090227631109,0.6601038378327454,0.6601089834994127,0.012288150070752834,0.643109203498625,0.6772230044991829,0.06706868320625803,0.06661599394599754,0.003953332299993408,0.06308865368295445,0.07253395299710773
